Display Setting,Diameter

Item,Value,Unit
PSCOOH-500nm-0.1pct-buffer-T80-20-6min_2573.nsz,,
Measurement Results,,
Date,2025”N2ŒŽ20“ú 21:23:16,
Measurement Type,Particle Size,
Sample Name,PSCOOH-500nm-0.1pct-buffer-T80-20-6min,
Scattering Angle,90,
Temperature of the Holder,39.8,°C
Dispersion Medium Viscosity,0.657,mPa·s
Transmission Intensity before Meas.,12987,
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,4821,kCPS
Calculation Results,,
Peak1 S.P.Area Ratio,1.00,
Peak2 S.P.Area Ratio,---,
Peak3 S.P.Area Ratio,---,
Total Area Ratio,1.00,
Peak1 Size (Mean),515.2,nm
Peak2 Size (Mean),---,nm
Peak3 Size (Mean),---,nm
Total Mean,515.2,nm
Peak1 S. D.,117.5,nm
Peak2 S. D.,---,nm
Peak3 S. D.,---,nm
Total S. D.,117.5,nm
Peak1 Mode,484.6,nm
Peak2 Mode,---,nm
Peak3 Mode,---,nm
Total Mode,484.6,nm
Cumulant Operations,,
Z-Average,497.5,nm
PI,0.002,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Diameter (nm),Frequency (%),Undersize (%)
0.34,0.000,0.000
0.38,0.000,0.000
0.43,0.000,0.000
0.49,0.000,0.000
0.55,0.000,0.000
0.62,0.000,0.000
0.70,0.000,0.000
0.80,0.000,0.000
0.90,0.000,0.000
1.02,0.000,0.000
1.15,0.000,0.000
1.30,0.000,0.000
1.47,0.000,0.000
1.66,0.000,0.000
1.87,0.000,0.000
2.11,0.000,0.000
2.39,0.000,0.000
2.70,0.000,0.000
3.05,0.000,0.000
3.45,0.000,0.000
3.89,0.000,0.000
4.40,0.000,0.000
4.97,0.000,0.000
5.61,0.000,0.000
6.34,0.000,0.000
7.17,0.000,0.000
8.10,0.000,0.000
9.15,0.000,0.000
10.34,0.000,0.000
11.68,0.000,0.000
13.20,0.000,0.000
14.91,0.000,0.000
16.84,0.000,0.000
19.03,0.000,0.000
21.50,0.000,0.000
24.29,0.000,0.000
27.45,0.000,0.000
31.01,0.000,0.000
35.03,0.000,0.000
39.58,0.000,0.000
44.72,0.000,0.000
50.53,0.000,0.000
57.09,0.000,0.000
64.50,0.000,0.000
72.87,0.000,0.000
82.33,0.000,0.000
93.02,0.000,0.000
105.10,0.000,0.000
118.74,0.000,0.000
134.16,0.000,0.000
151.57,0.000,0.000
171.25,0.000,0.000
193.48,0.000,0.000
218.60,0.000,0.000
246.98,0.000,0.000
279.04,0.000,0.000
315.27,0.816,0.816
356.20,4.964,5.780
402.44,11.954,17.734
454.69,17.305,35.039
513.71,19.372,54.411
580.41,18.144,72.555
655.76,14.315,86.870
740.89,8.964,95.834
837.07,3.635,99.469
945.74,0.531,100.000
1068.52,0.000,100.000
1207.24,0.000,100.000
1363.97,0.000,100.000
1541.04,0.000,100.000
1741.10,0.000,100.000
1967.14,0.000,100.000
2222.51,0.000,100.000
2511.05,0.000,100.000
2837.04,0.000,100.000
3205.35,0.000,100.000
3621.48,0.000,100.000
4091.63,0.000,100.000
4622.81,0.000,100.000
5222.96,0.000,100.000
5901.02,0.000,100.000
6667.10,0.000,100.000
7532.65,0.000,100.000
8510.56,0.000,100.000

Delay Time       (µs),Residual g1(T)
1,-0.000258446
1.4,-0.00018847
1.9,-0.000196815
2.6,-0.000201643
3.6,-0.000116646
5,-5.83529e-005
6.9,6.55651e-006
9.5,6.41942e-005
13.1,0.000109136
18.1,0.000169098
25,0.000240088
34.5,0.000306129
47.6,0.000337362
65.7,0.000343561
90.7,0.000321448
125.2,0.00025034
172.8,0.00012219
238.5,4.47035e-006
329.2,-0.000177264
454.4,-0.000393569
627.2,-0.000715435
865.7,-0.000936687
1194.9,-0.000777483
1649.3,0.000486404
2276.5,0.00112279

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.99863,0.998889
1.4,0.998423,0.998611
1.9,0.998068,0.998265
2.6,0.997579,0.99778
3.6,0.996972,0.997088
5,0.996062,0.996121
6.9,0.994815,0.994809
9.5,0.99308,0.993016
13.1,0.990648,0.990539
18.1,0.987279,0.987109
25,0.982636,0.982396
34.5,0.97625,0.975944
47.6,0.967453,0.967116
65.7,0.955394,0.95505
90.7,0.938955,0.938633
125.2,0.916693,0.916442
172.8,0.886809,0.886687
238.5,0.847209,0.847204
329.2,0.795404,0.795581
454.4,0.729076,0.729469
627.2,0.646468,0.647183
865.7,0.547753,0.54869
1194.9,0.436182,0.43696
1649.3,0.319718,0.319231
2276.5,0.208244,0.207122
3142.2,0.100886,0
4337.1,0.0215114,0
5986.4,0.0456541,0
8262.9,0.0139484,0
11405.1,0.01,0
15742.2,0.0278482,0
21728.6,0.01,0
29991.5,0.01,0
41396.6,0.01,0
57138.8,0.0403746,0
78867.4,0.0285253,0


