Display Setting,Diameter

Item,Value,Unit
20230105-gelyse4-600um-pscooh-500nm-0.1pct_1235.nsz,,
Measurement Results,,
Date,2023”N1ŒŽ6“ú 3:43:43,
Measurement Type,Particle Size,
Sample Name,20230105-gelyse4-600um-pscooh-500nm-0.1pct,
Scattering Angle,90,
Temperature of the Holder,41.8,°C
Dispersion Medium Viscosity,0.632,mPa·s
Transmission Intensity before Meas.,19956,
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,4328,kCPS
Calculation Results,,
Peak1 S.P.Area Ratio,1.00,
Peak2 S.P.Area Ratio,---,
Peak3 S.P.Area Ratio,---,
Total Area Ratio,1.00,
Peak1 Size (Mean),99.2,nm
Peak2 Size (Mean),---,nm
Peak3 Size (Mean),---,nm
Total Mean,99.2,nm
Peak1 S. D.,11.7,nm
Peak2 S. D.,---,nm
Peak3 S. D.,---,nm
Total S. D.,11.7,nm
Peak1 Mode,98.8,nm
Peak2 Mode,---,nm
Peak3 Mode,---,nm
Total Mode,98.8,nm
Cumulant Operations,,
Z-Average,---,nm
PI,---,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation,Fitting Function
1,0.99453,0.9947
1.4,0.993794,0.993562
1.9,0.992302,0.992179
2.6,0.990135,0.990311
3.6,0.987698,0.987767
5,0.984431,0.984421
6.9,0.980296,0.980221
9.5,0.974893,0.974983
13.1,0.968581,0.968484
18.1,0.960548,0.960553
25,0.951155,0.951167
34.5,0.940393,0.940461
47.6,0.928834,0.928792
65.7,0.916824,0.916749
90.7,0.904997,0.904983
125.2,0.893724,0.89388
172.8,0.883312,0.883405
238.5,0.873344,0.87328
329.2,0.863527,0.863193
454.4,0.852724,0.852654
627.2,0.840499,0.840763
865.7,0.82596,0.826367
1194.9,0.808359,0.808454
1649.3,0.786788,0.786269
2276.5,0.759622,0.759102
3142.2,0.726046,0.725971
4337.1,0.684506,0.685328
5986.4,0.634227,0.634987
8262.9,0.572503,0.572638
11405.1,0.499035,0.496932
15742.2,0.409308,0.408745
21728.6,0.310636,0.312255
29991.5,0.213004,0.215471
41396.6,0.132347,0.129289
57138.8,0.0774153,0
78867.4,0.0302728,0


