Display Setting,Diameter

Item,Value,Unit
Y16SE#-1mM-NP500nm-0.1pct-cooling5_4458.nsz,,
Measurement Results,,
Date,2025”N4ŒŽ1“ú 13:42:45,
Measurement Type,Particle Size,
Sample Name,Y16SE*-1mM-NP500nm-0.1pct-cooling5,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,48.0,°C
Dispersion Medium Viscosity,0.569,mPa·s
Transmission Intensity before Meas.,17456,
Transmission Intensity after Meas.,17783,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,121,kCPS
ACF Intercept,0.944,
Calculation Results,,
Cumulant Operations,,
Z-Average,1988.6,nm
PI,2.508,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.968421,0.966879
2,0.963915,0.962769
3,0.958015,0.957563
4,0.94937,0.950448
5,0.938575,0.940962
6,0.926159,0.928915
7,0.910903,0.913852
8,0.893315,0.895433
9,0.872982,0.873891
10,0.851618,0.850437
11,0.831178,0.827103
12,0.813241,0.806469
13,0.798813,0.790903
14,0.788497,0.781383
15,0.780488,0.776805
16,0.774274,0.774833
17,0.769929,0.773524
18,0.765518,0.771977
19,0.761586,0.76987
20,0.757144,0.766971
21,0.752506,0.762987
22,0.747286,0.757523
23,0.741315,0.750045
24,0.734568,0.739844
25,0.726824,0.725993
26,0.717416,0.707299
27,0.705275,0.682286
28,0.690791,0.649209
29,0.672404,0
30,0.647921,0
31,0.615956,0
32,0.572746,0
33,0.512749,0
34,0.430715,0
35,0.311819,0
36,0.01,0


