Display Setting,Diameter

Item,Value,Unit
Y16SE#-1mM-NP500nm-0.1pct-cooling5_4447.nsz,,
Measurement Results,,
Date,2025”N4ŒŽ1“ú 13:05:36,
Measurement Type,Particle Size,
Sample Name,Y16SE*-1mM-NP500nm-0.1pct-cooling5,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,50.0,°C
Dispersion Medium Viscosity,0.550,mPa·s
Transmission Intensity before Meas.,17813,
Transmission Intensity after Meas.,18028,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,409,kCPS
ACF Intercept,0.890,
Calculation Results,,
Cumulant Operations,,
Z-Average,1209.1,nm
PI,1.505,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.939251,0.93894
2,0.930308,0.931252
3,0.922819,0.921019
4,0.909401,0.907396
5,0.890331,0.890085
6,0.869906,0.869416
7,0.845956,0.845434
8,0.818597,0.818497
9,0.788787,0.789566
10,0.756081,0.759993
11,0.725701,0.730823
12,0.700046,0.703
13,0.678825,0.678075
14,0.663535,0.658273
15,0.653003,0.645159
16,0.64545,0.638239
17,0.639273,0.635159
18,0.633753,0.633407
19,0.628706,0.63156
20,0.623944,0.629084
21,0.618312,0.625686
22,0.612806,0.621027
23,0.605946,0.614652
24,0.599167,0.60596
25,0.591228,0.594164
26,0.581707,0.57826
27,0.570539,0.557006
28,0.556254,0.528948
29,0.538227,0
30,0.514312,0
31,0.483626,0
32,0.444706,0
33,0.393633,0
34,0.325719,0
35,0.226182,0
36,0.01,0


