Display Setting,Diameter

Item,Value,Unit
Y16SE8-1mM-NP-500nm-01pct-cooling1_5636.nsz,,
Measurement Results,,
Date,2025”N7ŒŽ2“ú 20:23:37,
Measurement Type,Particle Size,
Sample Name,Y16SE8-1mM-NP-500nm-01pct-cooling1,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,63.9,°C
Dispersion Medium Viscosity,0.444,mPa·s
Transmission Intensity before Meas.,5699,
Transmission Intensity after Meas.,5983,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,9947,kCPS
ACF Intercept,0.993,
Calculation Results,,
Cumulant Operations,,
Z-Average,---,nm
PI,---,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.995802,0.988522
2,0.994681,0.984906
3,0.993559,0.984596
4,0.992108,0.984558
5,0.990332,0.984518
6,0.988378,0.984463
7,0.986015,0.984388
8,0.983643,0.984284
9,0.98117,0.98414
10,0.978908,0.983941
11,0.976883,0.983667
12,0.975249,0.983289
13,0.97392,0.982767
14,0.972706,0.982047
15,0.971624,0.981054
16,0.97049,0.979686
17,0.969247,0.9778
18,0.967925,0.975203
19,0.966317,0.97163
20,0.964438,0.96672
21,0.962115,0.959983
22,0.959079,0.950761
23,0.955281,0.938178
24,0.950311,0.921084
25,0.944011,0.898
26,0.935482,0
27,0.924329,0
28,0.90964,0
29,0.890898,0
30,0.864277,0
31,0.827419,0
32,0.777852,0
33,0.708089,0
34,0.609951,0
35,0.450781,0
36,0.01,0


