Display Setting,Diameter

Item,Value,Unit
Y16SE8-1mM-NP500nm-01pct-cooling7_5957.nsz,,
Measurement Results,,
Date,2025”N7ŒŽ8“ú 16:40:35,
Measurement Type,Particle Size,
Sample Name,Y16SE8-1mM-NP500nm-01pct-cooling7,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,79.9,°C
Dispersion Medium Viscosity,0.359,mPa·s
Transmission Intensity before Meas.,13201,
Transmission Intensity after Meas.,13351,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,584,kCPS
ACF Intercept,0.741,
Calculation Results,,
Cumulant Operations,,
Z-Average,2283.4,nm
PI,1.006,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.859686,0.869201
2,0.858602,0.869096
3,0.857465,0.868948
4,0.856048,0.868738
5,0.854446,0.868443
6,0.886262,0.868043
7,0.904802,0.867497
8,0.849522,0.866741
9,0.882915,0.865692
10,0.880329,0.864247
11,0.870595,0.862263
12,0.866285,0.859537
13,0.861607,0.855788
14,0.854689,0.850644
15,0.8458,0.84361
16,0.832943,0.834026
17,0.816177,0.821024
18,0.794275,0.803499
19,0.765962,0.780091
20,0.730366,0.749214
21,0.687029,0.709174
22,0.637518,0.658447
23,0.585496,0.596193
24,0.533432,0.523024
25,0.48269,0.44187
26,0.437055,0.358473
27,0.394492,0
28,0.363699,0
29,0.331831,0
30,0.304433,0
31,0.277185,0
32,0.22345,0
33,0.205091,0
34,0.191567,0
35,0.144406,0
36,0.01,0


