Display Setting,Diameter

Item,Value,Unit
Y32SE6-500uM-NP500nm-0.1pct-cooling4_7038.nsz,,
Measurement Results,,
Date,2025”N12ŒŽ24“ú 16:38:40,
Measurement Type,Particle Size,
Sample Name,Y32SE6-500uM-NP500nm-0.1pct-cooling4,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,51.9,°C
Dispersion Medium Viscosity,0.533,mPa·s
Transmission Intensity before Meas.,13010,
Transmission Intensity after Meas.,13405,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,145,kCPS
ACF Intercept,0.774,
Calculation Results,,
Cumulant Operations,,
Z-Average,12.2,nm
PI,0.548,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.863425,0.860242
2,0.845043,0.844346
3,0.822044,0.825029
4,0.797031,0.798558
5,0.764876,0.762945
6,0.718465,0.717151
7,0.657162,0.658922
8,0.587062,0.586049
9,0.499516,0.498057
10,0.395578,0.39797
11,0.267638,0
12,0.01,0
13,0.01,0
14,0.01,0
15,0.01,0
16,0.01,0
17,0.01,0
18,0.01,0
19,0.01,0
20,0.01,0
21,0.01,0
22,0.01,0
23,0.01,0
24,0.01,0
25,0.01,0
26,0.01,0
27,0.01,0
28,0.01,0
29,0.01,0
30,0.01,0
31,0.01,0
32,0.01,0
33,0.01,0
34,0.01,0
35,0.01,0
36,0.01,0


