Display Setting,Diameter

Item,Value,Unit
Y16SE8-1mM-NP-500nm-01pct-cooling1_5588.nsz,,
Measurement Results,,
Date,2025”N7ŒŽ2“ú 17:32:51,
Measurement Type,Particle Size,
Sample Name,Y16SE8-1mM-NP-500nm-01pct-cooling1,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,73.9,°C
Dispersion Medium Viscosity,0.387,mPa·s
Transmission Intensity before Meas.,3969,
Transmission Intensity after Meas.,4317,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,431,kCPS
ACF Intercept,0.984,
Calculation Results,,
Cumulant Operations,,
Z-Average,---,nm
PI,---,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.991372,0.991595
2,0.991308,0.991307
3,0.990867,0.990935
4,0.990921,0.990458
5,0.989611,0.989878
6,0.989148,0.989213
7,0.98847,0.988462
8,0.987499,0.987618
9,0.986797,0.986674
10,0.985736,0.985627
11,0.984457,0.984449
12,0.983019,0.983072
13,0.981307,0.981364
14,0.979071,0.979137
15,0.976165,0.976166
16,0.972209,0.972186
17,0.966932,0.966862
18,0.959866,0.959748
19,0.950294,0.950234
20,0.937338,0.937485
21,0.92022,0.920391
22,0.897375,0.897557
23,0.867387,0.867334
24,0.828288,0.827911
25,0.778117,0.777517
26,0.714428,0.714812
27,0.638529,0.63948
28,0.552954,0.552922
29,0.458952,0.458716
30,0.362473,0.36234
31,0.274959,0.269942
32,0.178919,0.186783
33,0.113096,0.116744
34,0.01,0
35,0.01,0
36,0.01,0


