Display Setting,Diameter

Item,Value,Unit
Y16SE8-1mM-NP500nm-01pct-cooling7_5961.nsz,,
Measurement Results,,
Date,2025”N7ŒŽ8“ú 16:55:52,
Measurement Type,Particle Size,
Sample Name,Y16SE8-1mM-NP500nm-01pct-cooling7,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,78.9,°C
Dispersion Medium Viscosity,0.363,mPa·s
Transmission Intensity before Meas.,13297,
Transmission Intensity after Meas.,13469,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,491,kCPS
ACF Intercept,0.943,
Calculation Results,,
Cumulant Operations,,
Z-Average,2629.1,nm
PI,0.827,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.970046,0.971183
2,0.969346,0.971039
3,0.968099,0.970837
4,0.966764,0.97055
5,0.965053,0.970147
6,0.975675,0.969601
7,0.983199,0.968856
8,0.959026,0.967825
9,0.971083,0.966397
10,0.968098,0.964434
11,0.962158,0.961743
12,0.957719,0.958057
13,0.952502,0.953009
14,0.945296,0.946124
15,0.935641,0.936785
16,0.922538,0.924201
17,0.905552,0.907389
18,0.883409,0.885198
19,0.854858,0.856396
20,0.818732,0.819859
21,0.774302,0.774915
22,0.72226,0.72185
23,0.665977,0.662476
24,0.607371,0.600375
25,0.544514,0.540263
26,0.486091,0.486054
27,0.434078,0.438307
28,0.386393,0.393258
29,0.33738,0.345178
30,0.266834,0
31,0.215766,0
32,0.238877,0
33,0.209465,0
34,0.174796,0
35,0.100358,0
36,0.01,0


