Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];;
1;0.998;0.0588;0.1;136;1.12;5.78;5.16;0.172;15;0.24;WMa;;
2;1;0.0836;0.145;154;1.58;8.19;5.18;0.173;15;0.342;;;
3;1;0.119;0.211;179;2.43;11.6;4.78;0.173;15;0.485;;;
4;1;0.167;0.308;197;3.89;16.2;4.18;0.173;15;0.683;;;
5;1.01;0.235;0.447;209;6.52;22.4;3.44;0.174;15;0.96;;;
6;1.01;0.326;0.65;218;11.1;30.4;2.73;0.174;15;1.33;;;
7;1;0.439;0.946;225;18.9;39.5;2.1;0.173;15;1.79;;;
8;1;0.578;1.38;238;30.1;49.2;1.64;0.173;15;2.36;;;
9;1;0.739;2;250;45.7;57.9;1.27;0.173;15;3.02;;;
10;0.999;0.909;2.91;260;65;63.7;0.98;0.173;15;3.72;;;
11;1;1.1;4.23;275;86.7;67;0.772;0.173;15;4.48;;;
12;0.999;1.29;6.15;287;110;66.7;0.604;0.173;15;5.27;;;
13;1;1.54;8.94;299;139;65.6;0.472;0.173;15;6.29;;;
14;1;1.93;13;313;181;64.6;0.356;0.173;15;7.87;;;
15;1;2.6;18.9;325;252;64.7;0.257;0.173;15;10.6;;;
16;1;3.96;27.5;336;390;70.4;0.181;0.173;15;16.2;;;
17;1;6.61;40;346;656;86.5;0.132;0.173;15;27;;;
