Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;1.72;10;******;0.1;******;******;******;0.297;20;40.9;
2;1.48;10;******;0.2;******;******;******;0.255;20;40.9;
3;0.832;10;******;0.3;******;******;******;0.144;20;40.9;
4;0.756;10;******;0.4;******;******;******;0.131;20;40.9;
5;1.27;10;******;0.5;******;******;******;0.22;20;40.9;
6;1.63;10;******;0.6;******;******;******;0.282;20;40.9;
7;1.45;10;******;0.701;******;******;******;0.25;20;40.9;
8;1.11;10;******;0.801;******;******;******;0.191;20;40.9;
9;1.12;10;******;0.901;******;******;******;0.193;20;40.9;
10;1.42;10;******;1;******;******;******;0.245;20;40.9;
11;1.59;10;******;1.1;******;******;******;0.275;20;40.9;
12;1.47;10;******;1.2;******;******;******;0.255;20;40.9;
13;1.3;10;******;1.3;******;******;******;0.225;20;40.9;
14;1.34;10;******;1.4;******;******;******;0.232;20;40.9;
15;1.52;10;******;1.5;******;******;******;0.262;20;40.9;
16;1.6;10;******;1.6;******;******;******;0.277;20;40.9;
17;1.53;10;******;1.7;******;******;******;0.265;20;40.9;
18;1.45;10;******;1.8;******;******;******;0.251;20;40.9;
19;1.49;10;******;1.9;******;******;******;0.258;20;40.9;
20;1.6;10;******;2;******;******;******;0.276;20;40.9;
21;1.64;10;******;2.1;******;******;******;0.284;20;40.9;
22;1.61;10;******;2.2;******;******;******;0.277;20;40.9;
23;1.57;10;******;2.3;******;******;******;0.272;20;40.9;
24;1.61;10;******;2.4;******;******;******;0.278;20;40.9;
25;1.67;10;******;2.5;******;******;******;0.289;20;40.9;
26;1.7;10;******;2.6;******;******;******;0.293;20;40.9;
27;1.68;10;******;2.7;******;******;******;0.291;20;40.9;
28;1.67;10;******;2.8;******;******;******;0.289;20;40.9;
29;1.7;10;******;2.9;******;******;******;0.294;20;40.9;
30;1.74;10;******;3;******;******;******;0.301;20;40.9;
31;1.76;10;******;3.1;******;******;******;0.304;20;40.9;
32;1.76;10;******;3.2;******;******;******;0.304;20;40.9;
33;1.76;10;******;3.3;******;******;******;0.304;20;40.9;
34;1.78;10;******;3.4;******;******;******;0.308;20;40.9;
35;1.81;10;******;3.5;******;******;******;0.313;20;40.9;
36;1.82;10;******;3.6;******;******;******;0.315;20;40.9;
37;1.83;10;******;3.7;******;******;******;0.316;20;40.9;
38;1.84;10;******;3.8;******;******;******;0.318;20;40.9;
39;1.86;10;******;3.9;******;******;******;0.321;20;40.9;
40;1.88;10;******;4;******;******;******;0.324;20;40.9;
41;1.89;10;******;4.1;******;******;******;0.327;20;40.9;
42;1.9;10;******;4.2;******;******;******;0.328;20;40.9;
43;1.91;10;******;4.3;******;******;******;0.33;20;40.9;
44;1.93;10;******;4.4;******;******;******;0.333;20;40.9;
45;1.94;10;******;4.5;******;******;******;0.336;20;40.9;
46;1.96;10;******;4.6;******;******;******;0.338;20;40.9;
47;1.97;10;******;4.7;******;******;******;0.34;20;40.9;
48;1.98;10;******;4.8;******;******;******;0.342;20;40.9;
49;1.99;10;******;4.9;******;******;******;0.344;20;40.9;
50;2.01;10;******;5;******;******;******;0.347;20;40.9;
51;2.02;10;******;5.1;******;******;******;0.349;20;40.9;
52;2.03;10;******;5.2;******;******;******;0.351;20;40.9;
53;2.04;10;******;5.3;******;******;******;0.353;20;40.9;
54;2.06;10;******;5.4;******;******;******;0.355;20;40.9;
55;2.07;10;******;5.5;******;******;******;0.358;20;40.9;
56;2.08;10;******;5.6;******;******;******;0.36;20;40.9;
57;2.09;10;******;5.7;******;******;******;0.362;20;40.9;
58;2.11;10;******;5.8;******;******;******;0.364;20;40.9;
59;2.12;10;******;5.9;******;******;******;0.366;20;40.9;
60;2.13;10;******;6;******;******;******;0.368;20;40.9;
61;2.14;10;******;6.1;******;******;******;0.37;20;40.9;
62;2.15;10;******;6.2;******;******;******;0.372;20;40.9;
63;2.16;10;******;6.3;******;******;******;0.374;20;40.9;
64;2.18;10;******;6.4;******;******;******;0.376;20;40.9;
65;2.19;10;******;6.5;******;******;******;0.378;20;40.9;
66;2.2;10;******;6.6;******;******;******;0.38;20;40.9;
67;2.21;10;******;6.7;******;******;******;0.382;20;40.9;
68;2.22;10;******;6.8;******;******;******;0.384;20;40.9;
69;2.24;10;******;6.9;******;******;******;0.386;20;40.9;
70;2.25;10;******;7;******;******;******;0.389;20;40.9;
71;2.26;10;******;7.1;******;******;******;0.39;20;40.9;
72;2.27;10;******;7.2;******;******;******;0.392;20;40.9;
73;2.28;10;******;7.3;******;******;******;0.394;20;40.9;
74;2.29;10;******;7.4;******;******;******;0.396;20;40.9;
75;2.3;10;******;7.5;******;******;******;0.398;20;40.9;
76;2.32;10;******;7.6;******;******;******;0.4;20;40.9;
77;2.33;10;******;7.7;******;******;******;0.402;20;40.9;
78;2.34;10;******;7.8;******;******;******;0.404;20;40.9;
79;2.35;10;******;7.9;******;******;******;0.406;20;40.9;
80;2.36;10;******;8;******;******;******;0.408;20;40.9;
81;2.37;10;******;8.1;******;******;******;0.41;20;40.9;
82;2.38;10;******;8.2;******;******;******;0.412;20;40.9;
83;2.39;10;******;8.3;******;******;******;0.414;20;40.9;
84;2.4;10;******;8.4;******;******;******;0.416;20;40.9;
85;2.42;10;******;8.5;******;******;******;0.417;20;40.9;
86;2.43;10;******;8.6;******;******;******;0.419;20;40.9;
87;2.44;10;******;8.7;******;******;******;0.421;20;40.9;
88;2.45;10;******;8.8;******;******;******;0.423;20;40.9;
89;2.46;10;******;8.9;******;******;******;0.425;20;40.9;
90;2.47;10;******;9;******;******;******;0.427;20;40.9;
91;2.48;10;******;9.1;******;******;******;0.429;20;40.9;
92;2.49;10;******;9.2;******;******;******;0.431;20;40.9;
93;2.5;10;******;9.3;******;******;******;0.432;20;40.9;
94;2.51;10;******;9.4;******;******;******;0.434;20;40.9;
95;2.52;10;******;9.5;******;******;******;0.436;20;40.9;
96;2.53;10;******;9.6;******;******;******;0.438;20;40.9;
97;2.54;10;******;9.7;******;******;******;0.44;20;40.9;
98;2.55;10;******;9.8;******;******;******;0.441;20;40.9;
99;2.56;10;******;9.9;******;******;******;0.443;20;40.9;
100;2.58;10;******;10;******;******;******;0.445;20;40.9;
101;2.59;10;******;10.1;******;******;******;0.447;20;40.9;
102;2.6;10;******;10.2;******;******;******;0.449;20;40.9;
103;2.61;10;******;10.3;******;******;******;0.451;20;40.9;
104;2.62;10;******;10.4;******;******;******;0.452;20;40.9;
105;2.63;10;******;10.5;******;******;******;0.454;20;40.9;
106;2.64;10;******;10.6;******;******;******;0.456;20;40.9;
107;2.65;10;******;10.7;******;******;******;0.458;20;40.9;
108;2.66;10;******;10.8;******;******;******;0.459;20;40.9;
109;2.67;10;******;10.9;******;******;******;0.461;20;40.9;
110;2.68;10;******;11;******;******;******;0.463;20;40.9;
111;2.69;10;******;11.1;******;******;******;0.465;20;40.9;
112;2.7;10;******;11.2;******;******;******;0.466;20;40.9;
113;2.71;10;******;11.3;******;******;******;0.468;20;40.9;
114;2.72;10;******;11.4;******;******;******;0.47;20;40.9;
115;2.73;10;******;11.5;******;******;******;0.472;20;40.9;
116;2.74;10;******;11.6;******;******;******;0.474;20;40.9;
117;2.75;10;******;11.7;******;******;******;0.475;20;40.9;
118;2.76;10;******;11.8;******;******;******;0.477;20;40.9;
119;2.77;10;******;11.9;******;******;******;0.479;20;40.9;
120;2.78;10;******;12;******;******;******;0.48;20;40.9;
121;2.79;10;******;12.1;******;******;******;0.482;20;40.9;
122;2.8;10;******;12.2;******;******;******;0.484;20;40.9;
123;2.81;10;******;12.3;******;******;******;0.485;20;40.9;
124;2.82;10;******;12.4;******;******;******;0.487;20;40.9;
125;2.83;10;******;12.5;******;******;******;0.489;20;40.9;
126;2.84;10;******;12.6;******;******;******;0.491;20;40.9;
127;2.85;10;******;12.7;******;******;******;0.492;20;40.9;
128;2.86;10;******;12.8;******;******;******;0.494;20;40.9;
129;2.87;10;******;12.9;******;******;******;0.496;20;40.9;
130;2.88;10;******;13;******;******;******;0.497;20;40.9;
131;2.89;10;******;13.1;******;******;******;0.499;20;40.9;
132;2.9;10;******;13.2;******;******;******;0.501;20;40.9;
133;2.91;10;******;13.3;******;******;******;0.502;20;40.9;
134;2.92;10;******;13.4;******;******;******;0.504;20;40.9;
135;2.93;10;******;13.5;******;******;******;0.506;20;40.9;
136;2.94;10;******;13.6;******;******;******;0.507;20;40.9;
137;2.95;10;******;13.7;******;******;******;0.509;20;40.9;
138;2.96;10;******;13.8;******;******;******;0.511;20;40.9;
139;2.96;10;******;13.9;******;******;******;0.512;20;40.9;
140;2.97;10;******;14;******;******;******;0.514;20;40.9;
141;2.98;10;******;14.1;******;******;******;0.516;20;40.9;
142;2.99;10;******;14.2;******;******;******;0.517;20;40.9;
143;3;10;******;14.3;******;******;******;0.519;20;40.9;
144;3.01;10;******;14.4;******;******;******;0.521;20;40.9;
145;3.02;10;******;14.5;******;******;******;0.522;20;40.9;
146;3.03;10;******;14.6;******;******;******;0.524;20;40.9;
147;3.04;10;******;14.7;******;******;******;0.526;20;40.9;
148;3.05;10;******;14.8;******;******;******;0.527;20;40.9;
149;3.06;10;******;14.9;******;******;******;0.529;20;40.9;
150;3.07;10;******;15;******;******;******;0.53;20;40.9;
151;3.08;10;******;15.1;******;******;******;0.532;20;40.9;
152;3.09;10;******;15.2;******;******;******;0.534;20;40.9;
153;3.1;10;******;15.3;******;******;******;0.535;20;40.9;
154;3.11;10;******;15.4;******;******;******;0.537;20;40.9;
155;3.12;10;******;15.5;******;******;******;0.539;20;40.9;
156;3.13;10;******;15.6;******;******;******;0.54;20;40.9;
157;3.14;10;******;15.7;******;******;******;0.542;20;40.9;
158;3.14;10;******;15.8;******;******;******;0.543;20;40.9;
159;3.15;10;******;15.9;******;******;******;0.545;20;40.9;
160;3.16;10;******;16;******;******;******;0.547;20;40.9;
161;3.17;10;******;16.1;******;******;******;0.548;20;40.9;
162;3.18;10;******;16.2;******;******;******;0.55;20;40.9;
163;3.19;10;******;16.3;******;******;******;0.552;20;40.9;
164;3.2;10;******;16.4;******;******;******;0.553;20;40.9;
165;3.21;10;******;16.5;******;******;******;0.555;20;40.9;
166;3.22;10;******;16.6;******;******;******;0.556;20;40.9;
167;3.23;10;******;16.7;******;******;******;0.558;20;40.9;
168;3.24;10;******;16.8;******;******;******;0.559;20;40.9;
169;3.25;10;******;16.9;******;******;******;0.561;20;40.9;
170;3.26;10;******;17;******;******;******;0.563;20;40.9;
171;3.27;10;******;17.1;******;******;******;0.564;20;40.9;
172;3.27;10;******;17.2;******;******;******;0.566;20;40.9;
173;3.28;10;******;17.3;******;******;******;0.568;20;40.9;
174;3.29;10;******;17.4;******;******;******;0.569;20;40.9;
175;3.3;10;******;17.5;******;******;******;0.571;20;40.9;
176;3.31;10;******;17.6;******;******;******;0.572;20;40.9;
177;3.32;10;******;17.7;******;******;******;0.574;20;40.9;
178;3.33;10;******;17.8;******;******;******;0.575;20;40.9;
179;3.34;10;******;17.9;******;******;******;0.577;20;40.9;
180;3.35;10;******;18;******;******;******;0.579;20;40.9;
181;3.36;10;******;18.1;******;******;******;0.58;20;40.9;
182;3.37;10;******;18.2;******;******;******;0.582;20;40.9;
183;3.38;10;******;18.3;******;******;******;0.583;20;40.9;
184;3.38;10;******;18.4;******;******;******;0.585;20;40.9;
185;3.39;10;******;18.5;******;******;******;0.586;20;40.9;
186;3.4;10;******;18.6;******;******;******;0.588;20;40.9;
187;3.41;10;******;18.7;******;******;******;0.59;20;40.9;
188;3.42;10;******;18.8;******;******;******;0.591;20;40.9;
189;3.43;10;******;18.9;******;******;******;0.593;20;40.9;
190;3.44;10;******;19;******;******;******;0.594;20;40.9;
191;3.45;10;******;19.1;******;******;******;0.596;20;40.9;
192;3.46;10;******;19.2;******;******;******;0.597;20;40.9;
193;3.46;10;******;19.3;******;******;******;0.599;20;40.9;
194;3.47;10;******;19.4;******;******;******;0.6;20;40.9;
195;3.48;10;******;19.5;******;******;******;0.602;20;40.9;
196;3.49;10;******;19.6;******;******;******;0.604;20;40.9;
197;3.5;10;******;19.7;******;******;******;0.605;20;40.9;
198;3.51;10;******;19.8;******;******;******;0.607;20;40.9;
199;3.52;10;******;19.9;******;******;******;0.608;20;40.9;
200;3.53;10;******;20;******;******;******;0.61;20;40.9;
201;3.54;10;******;20.1;******;******;******;0.611;20;40.9;
202;3.55;10;******;20.2;******;******;******;0.613;20;40.9;
203;3.55;10;******;20.3;******;******;******;0.614;20;40.9;
204;3.56;10;******;20.4;******;******;******;0.616;20;40.9;
205;3.57;10;******;20.5;******;******;******;0.617;20;40.9;
206;3.58;10;******;20.6;******;******;******;0.619;20;40.9;
207;3.59;10;******;20.7;******;******;******;0.62;20;40.9;
208;3.6;10;******;20.8;******;******;******;0.622;20;40.9;
209;3.61;10;******;20.9;******;******;******;0.624;20;40.9;
210;3.62;10;******;21;******;******;******;0.625;20;40.9;
211;3.63;10;******;21.1;******;******;******;0.627;20;40.9;
212;3.63;10;******;21.2;******;******;******;0.628;20;40.9;
213;3.64;10;******;21.3;******;******;******;0.63;20;40.9;
214;3.65;10;******;21.4;******;******;******;0.631;20;40.9;
215;3.66;10;******;21.5;******;******;******;0.633;20;40.9;
216;3.67;10;******;21.6;******;******;******;0.634;20;40.9;
217;3.68;10;******;21.7;******;******;******;0.636;20;40.9;
218;3.69;10;******;21.8;******;******;******;0.637;20;40.9;
219;3.7;10;******;21.9;******;******;******;0.639;20;40.9;
220;3.7;10;******;22;******;******;******;0.64;20;40.9;
221;3.71;10;******;22.1;******;******;******;0.642;20;40.9;
222;3.72;10;******;22.2;******;******;******;0.643;20;40.9;
223;3.73;10;******;22.3;******;******;******;0.645;20;40.9;
224;3.74;10;******;22.4;******;******;******;0.646;20;40.9;
225;3.75;10;******;22.5;******;******;******;0.648;20;40.9;
226;3.76;10;******;22.6;******;******;******;0.649;20;40.9;
227;3.77;10;******;22.7;******;******;******;0.651;20;40.9;
228;3.77;10;******;22.8;******;******;******;0.652;20;40.9;
229;3.78;10;******;22.9;******;******;******;0.654;20;40.9;
230;3.79;10;******;23;******;******;******;0.655;20;40.9;
231;3.8;10;******;23.1;******;******;******;0.657;20;40.9;
232;3.81;10;******;23.2;******;******;******;0.658;20;40.9;
233;3.82;10;******;23.3;******;******;******;0.66;20;40.9;
234;3.83;10;******;23.4;******;******;******;0.661;20;40.9;
235;3.84;10;******;23.5;******;******;******;0.663;20;40.9;
236;3.84;10;******;23.6;******;******;******;0.664;20;40.9;
237;3.85;10;******;23.7;******;******;******;0.666;20;40.9;
238;3.86;10;******;23.8;******;******;******;0.667;20;40.9;
239;3.87;10;******;23.9;******;******;******;0.669;20;40.9;
240;3.88;10;******;24;******;******;******;0.67;20;40.9;
241;3.89;10;******;24.1;******;******;******;0.672;20;40.9;
242;3.9;10;******;24.2;******;******;******;0.673;20;40.9;
243;3.9;10;******;24.3;******;******;******;0.675;20;40.9;
244;3.91;10;******;24.4;******;******;******;0.676;20;40.9;
245;3.92;10;******;24.5;******;******;******;0.678;20;40.9;
246;3.93;10;******;24.6;******;******;******;0.679;20;40.9;
247;3.94;10;******;24.7;******;******;******;0.681;20;40.9;
248;3.95;10;******;24.8;******;******;******;0.682;20;40.9;
249;3.96;10;******;24.9;******;******;******;0.684;20;40.9;
250;3.96;10;******;25;******;******;******;0.685;20;40.9;
251;3.97;10;******;25.1;******;******;******;0.687;20;40.9;
252;3.98;10;******;25.2;******;******;******;0.688;20;40.9;
253;3.99;10;******;25.3;******;******;******;0.69;20;40.9;
254;4;10;******;25.4;******;******;******;0.691;20;40.9;
255;4.01;10;******;25.5;******;******;******;0.693;20;40.9;
256;4.02;10;******;25.6;******;******;******;0.694;20;40.9;
257;4.02;10;******;25.7;******;******;******;0.696;20;40.9;
258;4.03;10;******;25.8;******;******;******;0.697;20;40.9;
259;4.04;10;******;25.9;******;******;******;0.698;20;40.9;
260;4.05;10;******;26;******;******;******;0.7;20;40.9;
261;4.06;10;******;26.1;******;******;******;0.701;20;40.9;
262;4.07;10;******;26.2;******;******;******;0.703;20;40.9;
263;4.07;10;******;26.3;******;******;******;0.704;20;40.9;
264;4.08;10;******;26.4;******;******;******;0.706;20;40.9;
265;4.09;10;******;26.5;******;******;******;0.707;20;40.9;
266;4.1;10;******;26.6;******;******;******;0.709;20;40.9;
267;4.11;10;******;26.7;******;******;******;0.71;20;40.9;
268;4.12;10;******;26.8;******;******;******;0.712;20;40.9;
269;4.13;10;******;26.9;******;******;******;0.713;20;40.9;
270;4.14;10;******;27;******;******;******;0.715;20;40.9;
271;4.14;10;******;27.1;******;******;******;0.716;20;40.9;
272;4.15;10;******;27.2;******;******;******;0.717;20;40.9;
273;4.16;10;******;27.3;******;******;******;0.719;20;40.9;
274;4.17;10;******;27.4;******;******;******;0.72;20;40.9;
275;4.18;10;******;27.5;******;******;******;0.722;20;40.9;
276;4.19;10;******;27.6;******;******;******;0.723;20;40.9;
277;4.19;10;******;27.7;******;******;******;0.725;20;40.9;
278;4.2;10;******;27.8;******;******;******;0.726;20;40.9;
279;4.21;10;******;27.9;******;******;******;0.728;20;40.9;
280;4.22;10;******;28;******;******;******;0.729;20;40.9;
281;4.23;10;******;28.1;******;******;******;0.731;20;40.9;
282;4.24;10;******;28.2;******;******;******;0.732;20;40.9;
283;4.24;10;******;28.3;******;******;******;0.734;20;40.9;
284;4.25;10;******;28.4;******;******;******;0.735;20;40.9;
285;4.26;10;******;28.5;******;******;******;0.737;20;40.9;
286;4.27;10;******;28.6;******;******;******;0.738;20;40.9;
287;4.28;10;******;28.7;******;******;******;0.739;20;40.9;
288;4.29;10;******;28.8;******;******;******;0.741;20;40.9;
289;4.3;10;******;28.9;******;******;******;0.742;20;40.9;
290;4.3;10;******;29;******;******;******;0.744;20;40.9;
291;4.31;10;******;29.1;******;******;******;0.745;20;40.9;
292;4.32;10;******;29.2;******;******;******;0.747;20;40.9;
293;4.33;10;******;29.3;******;******;******;0.748;20;40.9;
294;4.34;10;******;29.4;******;******;******;0.75;20;40.9;
295;4.34;10;******;29.5;******;******;******;0.751;20;40.9;
296;4.35;10;******;29.6;******;******;******;0.752;20;40.9;
297;4.36;10;******;29.7;******;******;******;0.754;20;40.9;
298;4.37;10;******;29.8;******;******;******;0.755;20;40.9;
299;4.38;10;******;29.9;******;******;******;0.757;20;40.9;
300;4.39;10;******;30;******;******;******;0.758;20;40.9;
301;4.4;10;******;30.1;******;******;******;0.76;20;40.9;
302;4.4;10;******;30.2;******;******;******;0.761;20;40.9;
303;4.41;10;******;30.3;******;******;******;0.762;20;40.9;
304;4.42;10;******;30.4;******;******;******;0.764;20;40.9;
305;4.43;10;******;30.5;******;******;******;0.765;20;40.9;
306;4.44;10;******;30.6;******;******;******;0.767;20;40.9;
307;4.44;10;******;30.7;******;******;******;0.768;20;40.9;
308;4.45;10;******;30.8;******;******;******;0.77;20;40.9;
309;4.46;10;******;30.9;******;******;******;0.771;20;40.9;
310;4.47;10;******;31;******;******;******;0.773;20;40.9;
311;4.48;10;******;31.1;******;******;******;0.774;20;40.9;
312;4.49;10;******;31.2;******;******;******;0.775;20;40.9;
313;4.49;10;******;31.3;******;******;******;0.777;20;40.9;
314;4.5;10;******;31.4;******;******;******;0.778;20;40.9;
315;4.51;10;******;31.5;******;******;******;0.78;20;40.9;
316;4.52;10;******;31.6;******;******;******;0.781;20;40.9;
317;4.53;10;******;31.7;******;******;******;0.782;20;40.9;
318;4.54;10;******;31.8;******;******;******;0.784;20;40.9;
319;4.54;10;******;31.9;******;******;******;0.785;20;40.9;
320;4.55;10;******;32;******;******;******;0.787;20;40.9;
321;4.56;10;******;32.1;******;******;******;0.788;20;40.9;
322;4.57;10;******;32.2;******;******;******;0.79;20;40.9;
323;4.58;10;******;32.3;******;******;******;0.791;20;40.9;
324;4.59;10;******;32.4;******;******;******;0.792;20;40.9;
325;4.59;10;******;32.5;******;******;******;0.794;20;40.9;
326;4.6;10;******;32.6;******;******;******;0.795;20;40.9;
327;4.61;10;******;32.7;******;******;******;0.797;20;40.9;
328;4.62;10;******;32.8;******;******;******;0.798;20;40.9;
329;4.63;10;******;32.9;******;******;******;0.799;20;40.9;
330;4.63;10;******;33;******;******;******;0.801;20;40.9;
331;4.64;10;******;33.1;******;******;******;0.802;20;40.9;
332;4.65;10;******;33.2;******;******;******;0.804;20;40.9;
333;4.66;10;******;33.3;******;******;******;0.805;20;40.9;
334;4.67;10;******;33.4;******;******;******;0.807;20;40.9;
335;4.68;10;******;33.5;******;******;******;0.808;20;40.9;
336;4.68;10;******;33.6;******;******;******;0.809;20;40.9;
337;4.69;10;******;33.7;******;******;******;0.811;20;40.9;
338;4.7;10;******;33.8;******;******;******;0.812;20;40.9;
339;4.71;10;******;33.9;******;******;******;0.814;20;40.9;
340;4.72;10;******;34;******;******;******;0.815;20;40.9;
341;4.72;10;******;34.1;******;******;******;0.817;20;40.9;
342;4.73;10;******;34.2;******;******;******;0.818;20;40.9;
343;4.74;10;******;34.3;******;******;******;0.819;20;40.9;
344;4.75;10;******;34.4;******;******;******;0.821;20;40.9;
345;4.76;10;******;34.5;******;******;******;0.822;20;40.9;
346;4.77;10;******;34.6;******;******;******;0.824;20;40.9;
347;4.77;10;******;34.7;******;******;******;0.825;20;40.9;
348;4.78;10;******;34.8;******;******;******;0.826;20;40.9;
349;4.79;10;******;34.9;******;******;******;0.828;20;40.9;
350;4.8;10;******;35;******;******;******;0.829;20;40.9;
351;4.81;10;******;35.1;******;******;******;0.831;20;40.9;
352;4.81;10;******;35.2;******;******;******;0.832;20;40.9;
353;4.82;10;******;35.3;******;******;******;0.834;20;40.9;
354;4.83;10;******;35.4;******;******;******;0.835;20;40.9;
355;4.84;10;******;35.5;******;******;******;0.836;20;40.9;
356;4.85;10;******;35.6;******;******;******;0.838;20;40.9;
357;4.86;10;******;35.7;******;******;******;0.839;20;40.9;
358;4.86;10;******;35.8;******;******;******;0.841;20;40.9;
359;4.87;10;******;35.9;******;******;******;0.842;20;40.9;
360;4.88;10;******;36;******;******;******;0.843;20;40.9;
361;4.89;10;******;36.1;******;******;******;0.845;20;40.9;
362;4.89;10;******;36.2;******;******;******;0.846;20;40.9;
363;4.9;10;******;36.3;******;******;******;0.847;20;40.9;
364;4.91;10;******;36.4;******;******;******;0.849;20;40.9;
365;4.92;10;******;36.5;******;******;******;0.85;20;40.9;
