Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;1.01;4.08;0.004;2170;275;296;1.08;0.174;25;16.7;WMa;
2;0.984;4.74;0.00587;2770;369;310;0.839;0.17;25;19.4;;
3;1.01;5.62;0.00862;3180;466;306;0.657;0.174;25;23;;
4;0.996;6.19;0.0126;3450;551;288;0.522;0.172;25;25.3;;
5;1.01;6.85;0.0186;3590;628;263;0.418;0.174;25;28;;
6;0.999;7.3;0.0273;3680;693;233;0.336;0.173;25;29.9;;
7;1;7.74;0.04;3740;745;204;0.274;0.173;25;31.7;;
8;0.997;8.08;0.0587;3790;790;178;0.225;0.172;25;33;;
9;1;8.4;0.0862;3830;827;153;0.185;0.173;25;34.4;;
10;1.01;8.75;0.126;3860;858;131;0.153;0.174;25;35.8;;
11;0.994;8.86;0.186;3890;884;113;0.127;0.172;25;36.2;;
12;1;9.15;0.273;3910;906;97.5;0.108;0.174;25;37.4;;
13;0.997;9.25;0.4;3920;925;84.3;0.0912;0.172;25;37.8;;
14;1;9.48;0.587;3930;941;75;0.0797;0.174;25;38.8;;
15;1;9.6;0.862;3940;954;64.8;0.068;0.173;25;39.2;;
16;0.993;9.62;1.26;3940;967;59.7;0.0617;0.172;25;39.3;;
17;0.999;9.79;1.86;3950;978;55.3;0.0565;0.173;25;40;;
18;0.999;9.9;2.73;3960;989;52.4;0.053;0.173;25;40.5;;
19;1;10.1;4;3970;1000;51.4;0.0512;0.173;25;41.2;;
20;1;10.2;5.87;3970;1020;51.4;0.0504;0.173;25;41.7;;
21;1;10.4;8.62;3980;1040;52.7;0.0507;0.173;25;42.6;;
22;1;10.8;12.6;3990;1070;55.5;0.0518;0.173;25;44;;
23;1;11.4;18.6;4000;1140;60.4;0.0531;0.173;25;46.6;;
24;1;12.7;27.3;4010;1270;63.2;0.0498;0.173;25;52;;
25;1;15.1;40;4020;1510;61.7;0.0407;0.173;25;61.9;;
