Interval:			20
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	11.8	28.7	2.43	30	49.5	0.00127		35300
2	0.914	13.4	40.7	3.04	30	46.9	0.00176		35300
3	1.33	16.2	58.2	3.61	30	45.5	0.00247		35400
4	1.93	21.9	82.6	3.77	30	44.2	0.00352		35400
5	2.81	33.6	117	3.47	30	43.3	0.00498		35400
6	4.09	55.1	162	2.93	30	41.8	0.00701		35400
7	5.94	94.1	216	2.3	30	39.7	0.00969		35400
8	8.64	158	274	1.74	30	36.6	0.013		35400
9	12.6	248	323	1.3	30	32.4	0.0167		35400
10	18.3	354	349	0.985	30	27.2	0.0204		35400
11	26.6	467	349	0.748	30	21.9	0.0239		35400
12	38.6	568	327	0.576	30	16.9	0.0267		35500
13	56.2	650	290	0.446	30	12.7	0.0291		35500
14	81.7	711	248	0.348	30	9.22	0.0308		35500
15	119	753	210	0.279	30	6.58	0.032		35500
16	173	765	176	0.23	30	4.54	0.0321		35500
17	251	768	135	0.175	30	3.1	0.0319		35500
