Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	3.4	31.5	30	9.26	0.00129
2	104	0.158	7.95	49.2	30	6.18	0.00202
3	126	0.251	17.9	75	30	4.18	0.00315
4	140	0.398	40	109	30	2.73	0.00475
5	149	0.631	80.6	147	30	1.82	0.00684
6	155	1	142	176	30	1.24	0.00927
7	164	1.58	216	186	30	0.861	0.0117
8	171	2.51	287	176	30	0.612	0.0137
9	181	3.98	346	152	30	0.441	0.0154
10	188	6.31	392	125	30	0.319	0.0168
11	195	10	434	101	30	0.233	0.0181










