Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	92.1	0.1	110	220	30	2	10	1
2	132	0.158	199	274	30	1.38	13.7	0.997
3	153	0.251	313	304	30	0.972	17.8	1
4	167	0.398	431	301	30	0.699	21.4	1
5	176	0.631	536	272	30	0.508	24.5	1
6	181	1	619	231	30	0.373	27	1.01
7	189	1.58	681	188	30	0.277	28.7	1
8	196	2.51	725	149	30	0.205	30.1	1
9	206	3.98	754	117	30	0.155	31.1	1
10	213	6.31	773	90.3	30	0.117	31.7	1
11	220	10	778	71.7	30	0.0921	31.8	1
