Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	8.52E+2	1E-2	9.83E0	8.59E+1	8.73E0	25	3.43E0	9.75E-1	8.43E-1
2	1.2E+3	1.58E-2	2.39E+1	1.33E+2	5.55E0	25	5.45E0	9.94E-1	1.34E0
3	1.34E+3	2.51E-2	5.54E+1	2E+2	3.61E0	25	8.46E0	1E0	2.08E0
4	1.43E+3	3.98E-2	1.18E+2	2.84E+2	2.41E0	25	1.26E+1	1.01E0	3.11E0
5	1.49E+3	6.31E-2	2.25E+2	3.71E+2	1.65E0	25	1.76E+1	9.95E-1	4.32E0
6	1.52E+3	1E-1	3.74E+2	4.36E+2	1.17E0	25	2.35E+1	1.01E0	5.78E0
7	1.56E+3	1.58E-1	5.45E+2	4.64E+2	8.51E-1	25	2.92E+1	1E0	7.18E0
8	1.58E+3	2.51E-1	7.13E+2	4.52E+2	6.33E-1	25	3.45E+1	1E0	8.47E0
9	1.59E+3	3.98E-1	8.63E+2	4.13E+2	4.78E-1	25	3.89E+1	9.98E-1	9.55E0
10	1.6E+3	6.31E-1	9.88E+2	3.6E+2	3.64E-1	25	4.29E+1	1E0	1.05E+1
11	1.61E+3	1E0	1.08E+3	3.03E+2	2.8E-1	25	4.58E+1	1E0	1.13E+1
12	1.61E+3	1.58E0	1.16E+3	2.52E+2	2.18E-1	25	4.82E+1	1E0	1.19E+1
13	1.62E+3	2.51E0	1.21E+3	2.09E+2	1.73E-1	25	5.01E+1	1E0	1.23E+1
14	1.63E+3	3.98E0	1.26E+3	1.77E+2	1.41E-1	25	5.16E+1	9.99E-1	1.27E+1
15	1.64E+3	6.31E0	1.29E+3	1.56E+2	1.21E-1	25	5.27E+1	1E0	1.3E+1
16	1.64E+3	1E+1	1.3E+3	1.42E+2	1.09E-1	25	5.31E+1	1E0	1.3E+1
