Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	6.11E+3	1E-3	3.9E-1	9.15E0	2.35E+1	25	3.73E-1	1E0
2	1.08E+4	1.58E-3	7.44E-1	1.44E+1	1.94E+1	25	5.88E-1	1E0
3	1.32E+4	2.51E-3	1.32E0	2.26E+1	1.72E+1	25	9.35E-1	1.01E0
4	1.47E+4	3.98E-3	2.54E0	3.58E+1	1.41E+1	25	1.47E0	1.01E0
5	1.55E+4	6.31E-3	5.12E0	5.62E+1	1.1E+1	25	2.31E0	1.01E0
6	1.58E+4	1E-2	1.15E+1	8.79E+1	7.64E0	25	3.65E0	1.01E0
7	1.6E+4	1.58E-2	2.57E+1	1.35E+2	5.26E0	25	5.69E0	1.02E0
8	1.62E+4	2.51E-2	5.68E+1	2.02E+2	3.56E0	25	8.63E0	1.01E0
9	1.63E+4	3.98E-2	1.22E+2	2.88E+2	2.35E0	25	1.28E+1	1E0
10	1.63E+4	6.31E-2	2.29E+2	3.76E+2	1.65E0	25	1.8E+1	1.01E0
11	1.64E+4	1E-1	3.79E+2	4.41E+2	1.16E0	25	2.4E+1	1.01E0
12	1.64E+4	1.58E-1	5.52E+2	4.7E+2	8.53E-1	25	2.97E+1	1.01E0
13	1.64E+4	2.51E-1	7.25E+2	4.59E+2	6.33E-1	25	3.5E+1	1E0
14	1.64E+4	3.98E-1	8.76E+2	4.18E+2	4.77E-1	25	3.95E+1	1E0
15	1.64E+4	6.31E-1	1E+3	3.63E+2	3.62E-1	25	4.34E+1	1E0
16	1.64E+4	1E0	1.1E+3	3.03E+2	2.76E-1	25	4.63E+1	9.97E-1
17	1.65E+4	1.58E0	1.17E+3	2.49E+2	2.12E-1	25	4.88E+1	9.99E-1
18	1.65E+4	2.51E0	1.23E+3	2.06E+2	1.67E-1	25	5.07E+1	1E0
19	1.65E+4	3.98E0	1.27E+3	1.73E+2	1.36E-1	25	5.21E+1	9.99E-1
20	1.65E+4	6.31E0	1.3E+3	1.51E+2	1.16E-1	25	5.31E+1	1E0
21	1.65E+4	1E+1	1.3E+3	1.36E+2	1.04E-1	25	5.33E+1	1E0
