Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	1E-1	******	******	******	******	15	-1.27E+1	-7.47E-5	-3.12E0
2	2E-1	******	******	******	******	15	-5.1E0	-2.16E-5	-1.25E0
3	3E-1	******	******	******	******	15	-5.13E0	-2.39E-5	-1.26E0
4	4E-1	******	******	******	******	15	-5.93E0	-1.23E-6	-1.46E0
5	5E-1	******	******	******	******	15	-5.82E0	5.95E-5	-1.43E0
6	6E-1	******	******	******	******	15	-5.67E0	-6.57E-5	-1.39E0
7	7.01E-1	******	******	******	******	15	-5.67E0	-3.73E-5	-1.39E0
8	8.01E-1	******	******	******	******	15	-5.58E0	-2.19E-5	-1.37E0
9	9.01E-1	******	******	******	******	15	-5.52E0	-1E-4	-1.36E0
10	1E0	******	******	******	******	15	-5.41E0	-1.41E-4	-1.33E0
11	1.1E0	******	******	******	******	15	-5.38E0	-9.08E-5	-1.32E0
12	1.2E0	******	******	******	******	15	-5.37E0	-2.99E-5	-1.32E0
13	1.3E0	******	******	******	******	15	-5.24E0	-1.7E-4	-1.29E0
14	1.4E0	******	******	******	******	15	-5.25E0	-6.94E-5	-1.29E0
15	1.5E0	******	******	******	******	15	-5.14E0	-2.37E-4	-1.26E0
16	1.6E0	******	******	******	******	15	-5.17E0	-7.89E-5	-1.27E0
17	1.7E0	******	******	******	******	15	-5.06E0	-2.23E-4	-1.24E0
18	1.8E0	******	******	******	******	15	-5.08E0	-1.07E-4	-1.25E0
19	1.9E0	******	******	******	******	15	-4.99E0	-1.55E-4	-1.23E0
20	2E0	******	******	******	******	15	-4.99E0	-1.49E-4	-1.23E0
21	2.1E0	******	******	******	******	15	-4.92E0	-1.58E-4	-1.21E0
22	2.2E0	******	******	******	******	15	-4.92E0	-1.11E-4	-1.21E0
23	2.3E0	******	******	******	******	15	-4.8E0	-2.54E-4	-1.18E0
24	2.4E0	******	******	******	******	15	-4.84E0	-7.22E-5	-1.19E0
25	2.5E0	******	******	******	******	15	-4.75E0	-2.78E-4	-1.17E0
26	2.6E0	******	******	******	******	15	-4.76E0	-4.26E-5	-1.17E0
27	2.7E0	******	******	******	******	15	-4.73E0	-1.41E-4	-1.16E0
28	2.8E0	******	******	******	******	15	-4.68E0	-1.16E-4	-1.15E0
29	2.9E0	******	******	******	******	15	-4.64E0	-1.86E-4	-1.14E0
30	3E0	******	******	******	******	15	-4.65E0	-9.05E-5	-1.14E0
31	3.1E0	******	******	******	******	15	-4.61E0	-6.23E-5	-1.13E0
32	3.2E0	******	******	******	******	15	-4.59E0	-1.03E-4	-1.13E0
33	3.3E0	******	******	******	******	15	-4.55E0	-2.43E-5	-1.12E0
34	3.4E0	******	******	******	******	15	-4.5E0	-1.79E-4	-1.11E0
35	3.5E0	******	******	******	******	15	-4.52E0	1.63E-5	-1.11E0
36	3.6E0	******	******	******	******	15	-4.47E0	-6.16E-5	-1.1E0
37	3.7E0	******	******	******	******	15	-4.49E0	6.99E-6	-1.1E0
38	3.8E0	******	******	******	******	15	-4.44E0	-3.37E-5	-1.09E0
39	3.9E0	******	******	******	******	15	-4.42E0	1.04E-5	-1.09E0
40	4E0	******	******	******	******	15	-4.41E0	-1.83E-5	-1.08E0
41	4.1E0	******	******	******	******	15	-4.4E0	5.71E-5	-1.08E0
42	4.2E0	******	******	******	******	15	-4.35E0	2.4E-5	-1.07E0
43	4.3E0	******	******	******	******	15	-4.37E0	8.27E-5	-1.07E0
44	4.4E0	******	******	******	******	15	-4.35E0	4.33E-5	-1.07E0
45	4.5E0	******	******	******	******	15	-4.34E0	6.97E-5	-1.07E0
46	4.6E0	******	******	******	******	15	-4.3E0	2.77E-5	-1.06E0
47	4.7E0	******	******	******	******	15	-4.32E0	1.18E-4	-1.06E0
48	4.8E0	******	******	******	******	15	-4.26E0	-2.07E-5	-1.05E0
49	4.9E0	******	******	******	******	15	-4.3E0	1.11E-4	-1.06E0
50	5E0	******	******	******	******	15	-4.28E0	1.35E-4	-1.05E0
51	5.1E0	******	******	******	******	15	-4.18E0	-7.12E-5	-1.03E0
52	5.2E0	******	******	******	******	15	-4.2E0	-4.07E-5	-1.03E0
53	5.3E0	******	******	******	******	15	-4.21E0	9.68E-5	-1.03E0
54	5.4E0	******	******	******	******	15	-4.16E0	2.13E-5	-1.02E0
55	5.5E0	******	******	******	******	15	-4.11E0	-9.13E-5	-1.01E0
56	5.6E0	******	******	******	******	15	-4.17E0	6.91E-5	-1.03E0
57	5.7E0	******	******	******	******	15	-4.11E0	-4.67E-5	-1.01E0
58	5.8E0	******	******	******	******	15	-4.12E0	-3.55E-5	-1.01E0
59	5.9E0	******	******	******	******	15	-4.06E0	-2.46E-5	-9.98E-1
60	6E0	******	******	******	******	15	-4.08E0	2.97E-5	-1E0
61	6.1E0	******	******	******	******	15	-4.04E0	-9.33E-5	-9.92E-1
62	6.2E0	******	******	******	******	15	-3.99E0	-1.02E-4	-9.82E-1
63	6.3E0	******	******	******	******	15	-4.02E0	-1.78E-5	-9.88E-1
64	6.4E0	******	******	******	******	15	-3.93E0	-1.59E-4	-9.66E-1
65	6.5E0	******	******	******	******	15	-4.03E0	-3.89E-5	-9.89E-1
66	6.6E0	******	******	******	******	15	-3.91E0	-1.47E-4	-9.6E-1
67	6.7E0	******	******	******	******	15	-3.96E0	-3.5E-5	-9.74E-1
68	6.8E0	******	******	******	******	15	-3.87E0	-1.4E-4	-9.52E-1
69	6.9E0	******	******	******	******	15	-3.85E0	-1.96E-4	-9.46E-1
70	7E0	******	******	******	******	15	-3.88E0	-3.76E-5	-9.54E-1
71	7.1E0	******	******	******	******	15	-3.82E0	-7.81E-5	-9.38E-1
72	7.2E0	******	******	******	******	15	-3.8E0	-1.84E-4	-9.33E-1
73	7.3E0	******	******	******	******	15	-3.81E0	-1.05E-4	-9.37E-1
74	7.4E0	******	******	******	******	15	-3.8E0	-1.23E-4	-9.33E-1
75	7.5E0	******	******	******	******	15	-3.73E0	-2.08E-4	-9.18E-1
76	7.6E0	******	******	******	******	15	-3.78E0	-9.29E-5	-9.28E-1
77	7.7E0	******	******	******	******	15	-3.75E0	-1.88E-5	-9.22E-1
