Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
9.8E-2	******	******	******	******	5	-1.04E+2	-1.22E-2	-2.56E+1
1.99E-1	******	******	******	******	5	-8.09E+1	4.25E-5	-1.99E+1
2.97E-1	******	******	******	******	5	-5.8E+1	-3.72E-4	-1.43E+1
3.98E-1	******	******	******	******	5	-4.44E+1	4.68E-4	-1.09E+1
5E-1	******	******	******	******	5	-4.23E+1	2E-3	-1.04E+1
5.98E-1	******	******	******	******	5	-4.21E+1	-2.84E-4	-1.03E+1
7.03E-1	******	******	******	******	5	-3.69E+1	-1.55E-3	-9.06E0
8.01E-1	******	******	******	******	5	-3.26E+1	-1.88E-3	-8.02E0
9.02E-1	******	******	******	******	5	-2.9E+1	-2.21E-3	-7.12E0
1E0	******	******	******	******	5	-2.57E+1	-2.35E-3	-6.32E0
1.1E0	******	******	******	******	5	-2.31E+1	-2.33E-3	-5.67E0
1.2E0	******	******	******	******	5	-2.08E+1	-2.47E-3	-5.1E0
1.3E0	******	******	******	******	5	-1.87E+1	-2.46E-3	-4.59E0
1.4E0	******	******	******	******	5	-1.68E+1	-2.53E-3	-4.13E0
1.5E0	******	******	******	******	5	-1.53E+1	-2.5E-3	-3.75E0
1.6E0	******	******	******	******	5	-1.38E+1	-2.25E-3	-3.39E0
1.7E0	******	******	******	******	5	-1.25E+1	-2.06E-3	-3.07E0
1.8E0	******	******	******	******	5	-1.14E+1	-1.85E-3	-2.79E0
1.9E0	******	******	******	******	5	-1.04E+1	-1.51E-3	-2.57E0
2E0	******	******	******	******	5	-9.38E0	-1.56E-3	-2.31E0
2.1E0	******	******	******	******	5	-8.59E0	-1.41E-3	-2.11E0
2.2E0	******	******	******	******	5	-7.88E0	-1.17E-3	-1.94E0
2.3E0	******	******	******	******	5	-7.15E0	-1.2E-3	-1.76E0
2.4E0	******	******	******	******	5	-6.61E0	-9.35E-4	-1.62E0
2.5E0	******	******	******	******	5	-6.07E0	-8.95E-4	-1.49E0
2.6E0	******	******	******	******	5	-5.54E0	-7.67E-4	-1.36E0
2.7E0	******	******	******	******	5	-5.11E0	-7.36E-4	-1.26E0
2.8E0	******	******	******	******	5	-4.81E0	-5.21E-4	-1.18E0
2.9E0	******	******	******	******	5	-4.33E0	-4.96E-4	-1.06E0
3E0	******	******	******	******	5	-4.04E0	-4.33E-4	-9.93E-1
3.1E0	******	******	******	******	5	-3.8E0	-3.72E-4	-9.34E-1
3.2E0	******	******	******	******	5	-3.48E0	-3.52E-4	-8.55E-1
3.3E0	******	******	******	******	5	-3.17E0	-4.17E-4	-7.79E-1
3.4E0	******	******	******	******	5	-3.03E0	-3.08E-4	-7.46E-1
3.5E0	******	******	******	******	5	-2.79E0	-3.19E-4	-6.86E-1
3.6E0	******	******	******	******	5	-2.53E0	-4.05E-4	-6.21E-1
3.7E0	******	******	******	******	5	-2.38E0	-3.33E-4	-5.85E-1
3.8E0	******	******	******	******	5	-2.2E0	-3.01E-4	-5.4E-1
3.9E0	******	******	******	******	5	-1.99E0	-3.86E-4	-4.89E-1
4E0	******	******	******	******	5	-1.84E0	-3E-4	-4.52E-1
4.1E0	******	******	******	******	5	-1.8E0	-1.82E-4	-4.41E-1
4.2E0	******	******	******	******	5	-1.66E0	-1.58E-4	-4.07E-1
4.3E0	******	******	******	******	5	-1.43E0	-2.56E-4	-3.51E-1
4.4E0	******	******	******	******	5	-1.45E0	-1E-4	-3.56E-1
4.5E0	******	******	******	******	5	-1.39E0	-4.12E-5	-3.41E-1
4.6E0	******	******	******	******	5	-1.26E0	-2.42E-5	-3.09E-1
4.7E0	******	******	******	******	5	-1.21E0	-5.49E-5	-2.97E-1
4.8E0	******	******	******	******	5	-1.21E0	3.3E-5	-2.96E-1
4.9E0	******	******	******	******	5	-1.07E0	1.87E-6	-2.63E-1
5E0	******	******	******	******	5	-9.65E-1	-8.79E-5	-2.37E-1
5.1E0	******	******	******	******	5	-9.92E-1	-4.06E-5	-2.44E-1
5.2E0	******	******	******	******	5	-8.63E-1	-9.29E-5	-2.12E-1
5.3E0	******	******	******	******	5	-7.9E-1	-1.19E-4	-1.94E-1
5.4E0	******	******	******	******	5	-7.45E-1	-1.38E-4	-1.83E-1
5.5E0	******	******	******	******	5	-6.96E-1	-1.41E-4	-1.71E-1
5.6E0	******	******	******	******	5	-6E-1	-1.05E-4	-1.47E-1
5.7E0	******	******	******	******	5	-5.72E-1	-2E-4	-1.41E-1
5.8E0	******	******	******	******	5	-5.96E-1	-1.67E-5	-1.47E-1
5.9E0	******	******	******	******	5	-4.77E-1	-7.6E-5	-1.17E-1
6E0	******	******	******	******	5	-4.93E-1	-3.6E-5	-1.21E-1
6.1E0	******	******	******	******	5	-5.23E-1	5.98E-5	-1.29E-1
6.2E0	******	******	******	******	5	-4.92E-1	1.32E-4	-1.21E-1
6.3E0	******	******	******	******	5	-4.04E-1	-2.32E-6	-9.94E-2
6.4E0	******	******	******	******	5	-5.06E-1	1.4E-4	-1.24E-1
6.5E0	******	******	******	******	5	-4.43E-1	4.47E-5	-1.09E-1
6.6E0	******	******	******	******	5	-3.86E-1	6.52E-5	-9.49E-2
6.7E0	******	******	******	******	5	-3.65E-1	-8.18E-5	-8.98E-2
6.8E0	******	******	******	******	5	-4.18E-1	7.78E-5	-1.03E-1
6.9E0	******	******	******	******	5	-3.12E-1	-2.7E-5	-7.67E-2
7E0	******	******	******	******	5	-2.86E-1	-9.68E-5	-7.02E-2
7.1E0	******	******	******	******	5	-2.57E-1	-1.64E-4	-6.31E-2
7.2E0	******	******	******	******	5	-2.51E-1	-4.23E-5	-6.17E-2
7.3E0	******	******	******	******	5	-1.6E-1	-1.7E-4	-3.93E-2
7.4E0	******	******	******	******	5	-2.21E-1	-7.68E-5	-5.42E-2
7.5E0	******	******	******	******	5	-2.19E-1	-1.64E-5	-5.39E-2
7.6E0	******	******	******	******	5	-1.52E-1	-5.45E-6	-3.74E-2
7.7E0	******	******	******	******	5	-1.99E-1	5.03E-5	-4.88E-2
7.8E0	******	******	******	******	5	-2.57E-1	1.01E-4	-6.32E-2
7.9E0	******	******	******	******	5	-1.86E-1	1.51E-4	-4.57E-2
8E0	******	******	******	******	5	-2.28E-1	1.04E-4	-5.61E-2
8.1E0	******	******	******	******	5	-2.63E-1	9.97E-5	-6.47E-2
8.2E0	******	******	******	******	5	-2.23E-1	1.09E-4	-5.48E-2
8.3E0	******	******	******	******	5	-1.46E-1	-2.7E-5	-3.59E-2
8.4E0	******	******	******	******	5	-2.32E-1	-5.53E-6	-5.69E-2
8.5E0	******	******	******	******	5	-1.9E-1	-1.24E-5	-4.67E-2
8.6E0	******	******	******	******	5	-1E-1	-6.95E-5	-2.46E-2
8.7E0	******	******	******	******	5	-1.22E-1	-7.99E-5	-3.01E-2
8.8E0	******	******	******	******	5	-1.41E-1	-4.4E-5	-3.46E-2
8.9E0	******	******	******	******	5	-6.48E-2	-6.51E-5	-1.59E-2
9E0	******	******	******	******	5	-5.18E-2	-8.09E-5	-1.27E-2
9.1E0	******	******	******	******	5	-9.84E-2	2.86E-6	-2.42E-2
9.2E0	******	******	******	******	5	-3.77E-2	-3.92E-5	-9.27E-3
9.3E0	******	******	******	******	5	-3.1E-2	-1.67E-5	-7.61E-3
9.4E0	******	******	******	******	5	-1.11E-1	8.21E-5	-2.72E-2
9.5E0	******	******	******	******	5	-1.21E-1	1.39E-4	-2.97E-2
9.6E0	******	******	******	******	5	-4.96E-2	9.73E-5	-1.22E-2
9.7E0	******	******	******	******	5	-3.89E-2	5.47E-5	-9.55E-3
9.8E0	******	******	******	******	5	-1.35E-1	1.69E-4	-3.32E-2
9.9E0	******	******	******	******	5	-1.67E-1	1.76E-4	-4.11E-2
1E+1	******	******	******	******	5	-6.97E-2	6.53E-5	-1.71E-2
1.01E+1	******	******	******	******	5	-1.09E-1	1.36E-5	-2.67E-2
1.02E+1	******	******	******	******	5	-1.41E-1	7.31E-5	-3.47E-2
1.03E+1	******	******	******	******	5	-5.21E-2	-2.54E-5	-1.28E-2
1.04E+1	******	******	******	******	5	-5.14E-2	-4.64E-5	-1.26E-2
1.05E+1	******	******	******	******	5	-7.44E-2	8.27E-6	-1.83E-2
1.06E+1	******	******	******	******	5	-1.36E-2	-8.68E-5	-3.35E-3
1.07E+1	******	******	******	******	5	9.35E-3	-4.48E-5	2.3E-3
1.08E+1	******	******	******	******	5	-1.73E-2	-7.22E-5	-4.26E-3
1.09E+1	******	******	******	******	5	9.3E-3	-6.91E-5	2.29E-3
1.1E+1	******	******	******	******	5	-1.04E-2	8.93E-5	-2.56E-3
1.11E+1	******	******	******	******	5	7.22E-3	7.61E-6	1.77E-3
1.12E+1	******	******	******	******	5	-1.17E-1	1.37E-4	-2.88E-2
1.13E+1	******	******	******	******	5	-6.67E-2	1.17E-4	-1.64E-2
1.14E+1	******	******	******	******	5	-4.22E-2	2.65E-5	-1.04E-2
1.15E+1	******	******	******	******	5	-1.49E-1	2.09E-4	-3.67E-2
1.16E+1	******	******	******	******	5	-1.01E-1	6.59E-5	-2.49E-2
1.17E+1	******	******	******	******	5	-4.68E-2	3.09E-5	-1.15E-2
1.18E+1	******	******	******	******	5	-1.34E-1	1.16E-4	-3.29E-2
1.19E+1	******	******	******	******	5	-6.75E-2	1.37E-5	-1.66E-2
1.2E+1	******	******	******	******	5	-2.42E-3	-1.06E-4	-5.95E-4
1.21E+1	******	******	******	******	5	-6.09E-2	-4.93E-5	-1.5E-2
1.22E+1	******	******	******	******	5	-4.24E-2	-1.23E-4	-1.04E-2
1.23E+1	******	******	******	******	5	-5.25E-3	1.32E-5	-1.29E-3
1.24E+1	******	******	******	******	5	5.51E-2	-1.45E-4	1.35E-2
1.25E+1	******	******	******	******	5	-3.98E-2	-7.58E-5	-9.77E-3
1.26E+1	******	******	******	******	5	-1.52E-2	5.34E-5	-3.72E-3
1.27E+1	******	******	******	******	5	2.71E-2	-5.14E-5	6.67E-3
1.28E+1	******	******	******	******	5	-8.33E-2	1.24E-4	-2.05E-2
1.29E+1	******	******	******	******	5	-4.52E-2	6.51E-5	-1.11E-2
1.3E+1	******	******	******	******	5	-1.42E-2	4.9E-5	-3.49E-3
1.31E+1	******	******	******	******	5	-1.12E-1	1.82E-4	-2.76E-2
1.32E+1	******	******	******	******	5	-1.47E-1	2.31E-4	-3.62E-2
1.33E+1	******	******	******	******	5	1.51E-2	-3.25E-5	3.71E-3
1.34E+1	******	******	******	******	5	-9.65E-2	3.81E-5	-2.37E-2
1.35E+1	******	******	******	******	5	-1.09E-1	7.24E-5	-2.69E-2
1.36E+1	******	******	******	******	5	-1.68E-2	-2.12E-5	-4.13E-3
1.37E+1	******	******	******	******	5	-1.16E-2	-7.15E-5	-2.84E-3
1.38E+1	******	******	******	******	5	-7.22E-2	2.95E-5	-1.77E-2
1.39E+1	******	******	******	******	5	-2.88E-2	-3.55E-5	-7.07E-3
1.4E+1	******	******	******	******	5	4.32E-2	-7.95E-5	1.06E-2
1.41E+1	******	******	******	******	5	-3.69E-2	-6.59E-6	-9.06E-3
1.42E+1	******	******	******	******	5	9.58E-3	2.36E-5	2.35E-3
1.43E+1	******	******	******	******	5	2.82E-2	2.32E-5	6.93E-3
1.44E+1	******	******	******	******	5	-6.94E-2	1.34E-4	-1.7E-2
1.45E+1	******	******	******	******	5	-4.7E-2	5.88E-5	-1.16E-2
1.46E+1	******	******	******	******	5	-1.99E-2	1.56E-4	-4.9E-3
1.47E+1	******	******	******	******	5	-6.12E-2	5.53E-5	-1.5E-2
1.48E+1	******	******	******	******	5	-1.28E-1	1.58E-4	-3.16E-2
1.49E+1	******	******	******	******	5	-4.71E-2	9.77E-5	-1.16E-2
1.5E+1	******	******	******	******	5	-8.14E-2	4.83E-5	-2E-2
1.51E+1	******	******	******	******	5	-1.06E-1	1.11E-4	-2.59E-2
1.52E+1	******	******	******	******	5	-4.3E-2	-3.53E-5	-1.06E-2
1.53E+1	******	******	******	******	5	-1.16E-2	-9.32E-6	-2.85E-3
1.54E+1	******	******	******	******	5	-4.44E-2	-3.81E-5	-1.09E-2
1.55E+1	******	******	******	******	5	6.87E-3	-2.52E-5	1.69E-3
