# temperature	SE	SE+SE
1.000000E+01	2.622878E+01	7.368856E+02
1.200000E+01	3.360273E+01	7.331986E+02
1.400000E+01	4.285054E+01	7.285747E+02
1.600000E+01	5.438161E+01	7.228092E+02
1.800000E+01	6.867109E+01	7.156645E+02
2.000000E+01	8.626110E+01	7.068695E+02
2.200000E+01	1.077572E+02	6.961214E+02
2.400000E+01	1.338178E+02	6.830911E+02
2.600000E+01	1.651338E+02	6.674331E+02
2.800000E+01	2.023952E+02	6.488024E+02
3.000000E+01	2.462421E+02	6.268789E+02
3.200000E+01	2.971980E+02	6.014010E+02
3.400000E+01	3.555851E+02	5.722074E+02
3.600000E+01	4.214274E+02	5.392863E+02
3.800000E+01	4.943501E+02	5.028250E+02
4.000000E+01	5.734943E+02	4.632528E+02
4.200000E+01	6.574715E+02	4.212642E+02
4.400000E+01	7.443849E+02	3.778075E+02
4.600000E+01	8.319406E+02	3.340297E+02
4.800000E+01	9.176521E+02	2.911740E+02
5.000000E+01	9.991130E+02	2.504435E+02
5.200000E+01	1.074281E+03	2.128593E+02
5.400000E+01	1.141704E+03	1.791479E+02
5.600000E+01	1.200626E+03	1.496872E+02
5.800000E+01	1.250960E+03	1.245198E+02
6.000000E+01	1.293162E+03	1.034192E+02
6.200000E+01	1.328035E+03	8.598239E+01
6.400000E+01	1.356560E+03	7.172003E+01
6.600000E+01	1.379744E+03	6.012812E+01
6.800000E+01	1.398531E+03	5.073466E+01
7.000000E+01	1.413752E+03	4.312414E+01
7.200000E+01	1.426109E+03	3.694567E+01
7.400000E+01	1.436178E+03	3.191125E+01
7.600000E+01	1.444422E+03	2.778891E+01
7.800000E+01	1.451212E+03	2.439411E+01
8.000000E+01	1.456838E+03	2.158107E+01
8.200000E+01	1.461530E+03	1.923503E+01
8.400000E+01	1.465469E+03	1.726571E+01
8.600000E+01	1.468796E+03	1.560199E+01
8.800000E+01	1.471625E+03	1.418769E+01
9.000000E+01	1.474044E+03	1.297821E+01
9.200000E+01	1.476124E+03	1.193802E+01
9.400000E+01	1.477923E+03	1.103865E+01
9.600000E+01	1.479486E+03	1.025714E+01
9.800000E+01	1.480850E+03	9.574878E+00
