# temperature	A	A+A	A+A+A	A+A+A+A	A+A+A+B	A+A+B	A+A+B+B	A+B	A+B+A+B	A+B+B	A+B+B+B	B	B+B	B+B+B	B+B+B+B
0.000000E+00	1.455995E-13	1.230521E-23	1.068674E-33	1.664457E-43	8.031269E-24	1.498322E-13	2.652629E-12	3.341857E-06	5.983291E-04	2.346382E-15	6.464195E-23	4.396972E-12	1.234939E-20	4.634149E-29	2.198872E-37
2.000000E+00	2.579415E-13	3.565560E-23	5.076934E-33	1.306301E-42	2.237691E-23	2.567952E-13	4.580113E-12	4.360284E-06	5.978199E-04	4.987093E-15	1.965799E-22	7.553147E-12	3.708072E-20	1.999006E-28	1.440364E-36
4.000000E+00	5.783376E-13	1.675938E-22	4.973177E-32	2.689902E-41	1.009137E-22	5.605731E-13	7.866252E-12	5.670332E-06	5.971648E-04	8.313003E-15	3.654228E-22	1.022037E-11	6.759988E-20	4.125908E-28	3.537306E-36
6.000000E+00	1.731824E-12	1.422900E-21	1.180308E-30	1.801770E-39	8.202943E-22	1.644458E-12	1.344189E-11	7.350175E-06	5.963249E-04	1.030505E-14	3.736460E-22	1.033641E-11	6.728145E-20	3.473937E-28	2.633731E-36
8.000000E+00	3.884094E-12	6.860736E-21	1.196607E-29	3.880754E-38	3.779337E-21	3.634382E-12	2.285885E-11	9.497405E-06	5.952513E-04	1.694971E-14	6.696916E-22	1.394704E-11	1.164213E-19	6.781848E-28	6.032594E-36
1.000000E+01	7.523211E-12	2.496714E-20	7.940121E-29	4.747592E-37	1.311883E-20	6.974872E-12	3.869344E-11	1.223334E-05	5.938833E-04	3.209434E-14	1.585964E-21	2.178965E-11	2.638363E-19	2.007946E-27	2.414596E-35
1.200000E+01	1.508286E-11	9.843065E-20	5.930968E-28	6.798080E-36	4.925804E-20	1.392312E-11	6.520496E-11	1.570809E-05	5.921459E-04	5.839390E-14	3.462965E-21	3.290103E-11	5.461423E-19	5.254992E-27	8.224415E-35
1.400000E+01	2.744098E-11	3.228107E-19	3.356362E-27	6.720247E-35	1.536680E-19	2.532750E-11	1.094038E-10	2.010632E-05	5.899467E-04	1.164759E-13	9.091430E-21	5.477001E-11	1.346099E-18	1.810708E-26	4.055647E-34
1.600000E+01	4.864243E-11	1.013828E-18	1.777792E-26	6.080718E-34	4.586802E-19	4.503909E-11	1.827734E-10	2.565373E-05	5.871729E-04	2.372844E-13	2.495506E-20	9.361452E-11	3.434644E-18	6.664773E-26	2.190823E-33
1.800000E+01	8.458956E-11	3.086151E-18	8.977577E-26	5.162032E-33	1.326389E-18	7.875210E-11	3.040219E-10	3.262402E-05	5.836876E-04	4.904111E-13	7.080980E-20	1.631261E-10	8.970249E-18	2.578149E-25	1.268175E-32
