# temperature	A	A+A	A+B	A+SE	B	B+B	B+SE	SE	SE+SE
0.000000E+00	1.184149E-11	8.139200E-20	1.000000E-03	1.110508E-11	1.617780E-11	1.671772E-19	1.363455E-13	3.612784E-05	4.819361E-04
2.000000E+00	1.227531E-11	8.075147E-20	1.000000E-03	1.109511E-11	3.640003E-11	8.611839E-19	3.596047E-13	4.369690E-05	4.781515E-04
4.000000E+00	2.732545E-11	3.741361E-19	1.000000E-03	2.394150E-11	3.814805E-11	9.417969E-19	4.379096E-13	5.263933E-05	4.736803E-04
6.000000E+00	3.783996E-11	6.793105E-19	9.999999E-04	3.231470E-11	6.436136E-11	2.608592E-18	8.498988E-13	6.315181E-05	4.684241E-04
8.000000E+00	5.596472E-11	1.424360E-18	9.999999E-04	4.682071E-11	1.019183E-10	6.216888E-18	1.531236E-12	7.544541E-05	4.622773E-04
1.000000E+01	8.943786E-11	3.528622E-18	9.999998E-04	7.363774E-11	1.498259E-10	1.247406E-17	2.531421E-12	8.974250E-05	4.551287E-04
1.200000E+01	1.333404E-10	7.692844E-18	9.999998E-04	1.084646E-10	2.369233E-10	2.832059E-17	4.448256E-12	1.062719E-04	4.468640E-04
1.400000E+01	2.084756E-10	1.863198E-17	9.999996E-04	1.680593E-10	3.585540E-10	5.769000E-17	7.392285E-12	1.252620E-04	4.373689E-04
1.600000E+01	3.174715E-10	4.318603E-17	9.999994E-04	2.541558E-10	5.591172E-10	1.225183E-16	1.251261E-11	1.469316E-04	4.265340E-04
1.800000E+01	4.886562E-10	1.029889E-16	9.999991E-04	3.888569E-10	8.655633E-10	2.525547E-16	2.079550E-11	1.714786E-04	4.142605E-04
2.000000E+01	7.572044E-10	2.501726E-16	9.999986E-04	5.987094E-10	1.335421E-09	5.108700E-16	3.408736E-11	1.990645E-04	4.004674E-04
2.200000E+01	1.181470E-09	6.177894E-16	9.999979E-04	9.264422E-10	2.052773E-09	1.016912E-15	5.512989E-11	2.297986E-04	3.851002E-04
2.400000E+01	1.838555E-09	1.517509E-15	9.999967E-04	1.424721E-09	3.174273E-09	2.037421E-15	8.887899E-11	2.637178E-04	3.681404E-04
2.600000E+01	2.869298E-09	3.738327E-15	9.999949E-04	2.185723E-09	4.911400E-09	4.078051E-15	1.421490E-10	3.007668E-04	3.496154E-04
2.800000E+01	4.491229E-09	9.210789E-15	9.999922E-04	3.339519E-09	7.605070E-09	8.181871E-15	2.256796E-10	3.407786E-04	3.296089E-04
3.000000E+01	7.057508E-09	2.267582E-14	9.999879E-04	5.077402E-09	1.177814E-08	1.647858E-14	3.555727E-10	3.834574E-04	3.082686E-04
3.200000E+01	1.113441E-08	5.564320E-14	9.999812E-04	7.670025E-09	1.824825E-08	3.340769E-14	5.562238E-10	4.283686E-04	2.858116E-04
3.400000E+01	1.764257E-08	1.358950E-13	9.999709E-04	1.149993E-08	2.827874E-08	6.828055E-14	8.638673E-10	4.749374E-04	2.625251E-04
3.600000E+01	2.807295E-08	3.297336E-13	9.999548E-04	1.709340E-08	4.383446E-08	1.409098E-13	1.332268E-09	5.224614E-04	2.387601E-04
3.800000E+01	4.484259E-08	7.936246E-13	9.999300E-04	2.516276E-08	6.796588E-08	2.939060E-13	2.040465E-09	5.701383E-04	2.149172E-04
4.000000E+01	7.185847E-08	1.892092E-12	9.998915E-04	3.665273E-08	1.054098E-07	6.198964E-13	3.103911E-09	6.171100E-04	1.914251E-04
4.200000E+01	1.154072E-07	4.462743E-12	9.998318E-04	5.279245E-08	1.635158E-07	1.322128E-12	4.690149E-09	6.625190E-04	1.687118E-04
4.400000E+01	1.855397E-07	1.040237E-11	9.997393E-04	7.515235E-08	2.536694E-07	2.850076E-12	7.040815E-09	7.055720E-04	1.471729E-04
4.600000E+01	2.982058E-07	2.394361E-11	9.995960E-04	1.057103E-07	3.934497E-07	6.203263E-12	1.050192E-08	7.456006E-04	1.271416E-04
4.800000E+01	4.784691E-07	5.438830E-11	9.993745E-04	1.469207E-07	6.099053E-07	1.361281E-11	1.556607E-08	7.821079E-04	1.088648E-04
5.000000E+01	7.653281E-07	1.218803E-10	9.990326E-04	2.018054E-07	9.443885E-07	3.006231E-11	2.292859E-08	8.147946E-04	9.249032E-05
5.200000E+01	1.218760E-06	2.694095E-10	9.985066E-04	2.740537E-07	1.459657E-06	6.666187E-11	3.356247E-08	8.435593E-04	7.806654E-05
5.400000E+01	1.929850E-06	5.874195E-10	9.977008E-04	3.681409E-07	2.250054E-06	1.480541E-10	4.881487E-08	8.684765E-04	6.555326E-05
5.600000E+01	3.034993E-06	1.263502E-09	9.964730E-04	4.894538E-07	3.455789E-06	3.284425E-10	7.052755E-08	8.897586E-04	5.484071E-05
5.800000E+01	4.735252E-06	2.681145E-09	9.946150E-04	6.444090E-07	5.282391E-06	7.256553E-10	1.011807E-07	9.077110E-04	4.577172E-05
6.000000E+01	7.321755E-06	5.612391E-09	9.918265E-04	8.405317E-07	8.026274E-06	1.591899E-09	1.440537E-07	9.226887E-04	3.816338E-05
6.200000E+01	1.120741E-05	1.158562E-08	9.876830E-04	1.086449E-06	1.210673E-05	3.456617E-09	2.033874E-07	9.350601E-04	3.182506E-05
6.400000E+01	1.696368E-05	2.356896E-08	9.815975E-04	1.391721E-06	1.810321E-05	7.405032E-09	2.845153E-07	9.451802E-04	2.657179E-05
6.600000E+01	2.535843E-05	4.719684E-08	9.727808E-04	1.766409E-06	2.679413E-05	1.559800E-08	3.939090E-07	9.533741E-04	2.223280E-05
6.800000E+01	3.738594E-05	9.287248E-08	9.602081E-04	2.220228E-06	3.918848E-05	3.218947E-08	5.390508E-07	9.599285E-04	1.865610E-05
7.000000E+01	5.427314E-05	1.791489E-07	9.426074E-04	2.761131E-06	5.653490E-05	6.482940E-08	7.280102E-07	9.650908E-04	1.571002E-05
7.200000E+01	7.743710E-05	3.376800E-07	9.184944E-04	3.393141E-06	8.028328E-05	1.268778E-07	9.685701E-07	9.690727E-04	1.328279E-05
7.400000E+01	1.083603E-04	6.194454E-07	8.862874E-04	4.113407E-06	1.119655E-04	2.401549E-07	1.266755E-06	9.720578E-04	1.128102E-05
7.600000E+01	1.483494E-04	1.100480E-06	8.445410E-04	4.908676E-06	1.529597E-04	4.373224E-07	1.624700E-06	9.742115E-04	9.627540E-06
7.800000E+01	1.981630E-04	1.882795E-06	7.923195E-04	5.751945E-06	2.041189E-04	7.617843E-07	2.038043E-06	9.756917E-04	8.259135E-06
8.000000E+01	2.575483E-04	3.083560E-06	7.296838E-04	6.600759E-06	2.652991E-04	1.261852E-06	2.493466E-06	9.766572E-04	7.124267E-06
8.200000E+01	3.248242E-04	4.806258E-06	6.581640E-04	7.399260E-06	3.349154E-04	1.976500E-06	2.967570E-06	9.772711E-04	6.181016E-06
8.400000E+01	3.967466E-04	7.096343E-06	5.809749E-04	8.085814E-06	4.097673E-04	2.914578E-06	3.428595E-06	9.776951E-04	5.395228E-06
8.600000E+01	4.688967E-04	9.900959E-06	5.026954E-04	8.605917E-06	4.853878E-04	4.037438E-06	3.841854E-06	9.780743E-04	4.738942E-06
8.800000E+01	5.366199E-04	1.306367E-05	4.283264E-04	8.926320E-06	5.569766E-04	5.259563E-06	4.177827E-06	9.785176E-04	4.189130E-06
9.000000E+01	5.961685E-04	1.636990E-05	3.620482E-04	9.043524E-06	6.205861E-04	6.473153E-06	4.419473E-06	9.790835E-04	3.726769E-06
9.200000E+01	6.454835E-04	1.961996E-05	3.062949E-04	8.981778E-06	6.739725E-04	7.583820E-06	4.565006E-06	9.797809E-04	3.336179E-06
9.400000E+01	6.842663E-04	2.268454E-05	2.615824E-04	8.782198E-06	7.167218E-04	8.535310E-06	4.625119E-06	9.805836E-04	3.004536E-06
9.600000E+01	7.134783E-04	2.551698E-05	2.269980E-04	8.489643E-06	7.497599E-04	9.312485E-06	4.617105E-06	9.814504E-04	2.721441E-06
9.800000E+01	7.346744E-04	2.813230E-05	2.009177E-04	8.143325E-06	7.746649E-04	9.929030E-06	4.559309E-06	9.823403E-04	2.478510E-06
