# temperature	SE	SE+SE
0.000000E+00	2.252653E-06	1.873674E-06
2.000000E+00	2.603982E-06	1.698009E-06
4.000000E+00	2.974671E-06	1.512664E-06
6.000000E+00	3.355338E-06	1.322331E-06
8.000000E+00	3.734576E-06	1.132712E-06
1.000000E+01	4.100041E-06	9.499795E-07
1.200000E+01	4.439979E-06	7.800106E-07
1.400000E+01	4.744871E-06	6.275645E-07
1.600000E+01	5.008703E-06	4.956483E-07
1.800000E+01	5.229457E-06	3.852717E-07
2.000000E+01	5.408714E-06	2.956429E-07
2.200000E+01	5.550639E-06	2.246803E-07
2.400000E+01	5.660755E-06	1.696225E-07
2.600000E+01	5.744892E-06	1.275541E-07
2.800000E+01	5.808482E-06	9.575902E-08
3.000000E+01	5.856201E-06	7.189966E-08
3.200000E+01	5.891862E-06	5.406916E-08
3.400000E+01	5.918465E-06	4.076770E-08
3.600000E+01	5.938311E-06	3.084460E-08
3.800000E+01	5.953137E-06	2.343163E-08
4.000000E+01	5.964239E-06	1.788067E-08
4.200000E+01	5.972578E-06	1.371110E-08
4.400000E+01	5.978865E-06	1.056775E-08
4.600000E+01	5.983623E-06	8.188485E-09
4.800000E+01	5.987240E-06	6.379806E-09
5.000000E+01	5.990003E-06	4.998665E-09
5.200000E+01	5.992122E-06	3.939081E-09
5.400000E+01	5.993755E-06	3.122311E-09
5.600000E+01	5.995021E-06	2.489660E-09
5.800000E+01	5.996006E-06	1.997221E-09
6.000000E+01	5.996776E-06	1.612026E-09
6.200000E+01	5.997382E-06	1.309223E-09
6.400000E+01	5.997860E-06	1.070001E-09
6.600000E+01	5.998240E-06	8.800659E-10
6.800000E+01	5.998543E-06	7.285087E-10
7.000000E+01	5.998786E-06	6.069698E-10
7.200000E+01	5.998982E-06	5.090162E-10
7.400000E+01	5.999141E-06	4.296770E-10
7.600000E+01	5.999270E-06	3.650947E-10
7.800000E+01	5.999375E-06	3.122636E-10
8.000000E+01	5.999462E-06	2.688317E-10
8.200000E+01	5.999534E-06	2.329511E-10
8.400000E+01	5.999594E-06	2.031639E-10
8.600000E+01	5.999643E-06	1.783153E-10
8.800000E+01	5.999685E-06	1.574866E-10
9.000000E+01	5.999720E-06	1.399442E-10
9.200000E+01	5.999750E-06	1.251001E-10
9.400000E+01	5.999775E-06	1.124807E-10
9.600000E+01	5.999797E-06	1.017034E-10
9.800000E+01	5.999815E-06	9.245757E-11
