# temperature	A	A+A	A+B	B	B+B
0.000000E+00	1.674675E-12	1.876658E-19	5.000000E-05	1.674717E-12	1.791518E-21
2.000000E+00	2.612521E-12	3.845560E-19	5.000000E-05	2.612633E-12	4.436588E-21
4.000000E+00	4.076387E-12	7.896083E-19	5.000000E-05	4.076547E-12	1.075468E-20
6.000000E+00	6.366175E-12	1.626936E-18	4.999999E-05	6.366436E-12	2.552398E-20
8.000000E+00	9.957304E-12	3.367346E-18	4.999999E-05	9.957538E-12	5.934340E-20
1.000000E+01	1.560529E-11	7.004134E-18	4.999998E-05	1.560580E-11	1.353339E-19
1.200000E+01	2.451522E-11	1.464020E-17	4.999998E-05	2.451642E-11	3.032500E-19
1.400000E+01	3.861453E-11	3.073383E-17	4.999996E-05	3.861608E-11	6.691567E-19
1.600000E+01	6.099255E-11	6.472763E-17	4.999994E-05	6.099469E-11	1.458073E-18
1.800000E+01	9.661523E-11	1.365705E-16	4.999990E-05	9.661834E-11	3.146856E-18
2.000000E+01	1.534838E-10	2.882158E-16	4.999985E-05	1.534885E-10	6.748790E-18
2.200000E+01	2.445185E-10	6.073563E-16	4.999976E-05	2.445255E-10	1.442946E-17
2.400000E+01	3.906210E-10	1.275955E-15	4.999961E-05	3.906314E-10	3.085508E-17
2.600000E+01	6.256499E-10	2.668553E-15	4.999937E-05	6.256652E-10	6.617988E-17
2.800000E+01	1.004490E-09	5.549690E-15	4.999900E-05	1.004511E-09	1.427434E-16
3.000000E+01	1.616084E-09	1.146723E-14	4.999838E-05	1.616140E-09	3.102592E-16
3.200000E+01	2.604497E-09	2.353268E-14	4.999740E-05	2.604575E-09	6.805775E-16
3.400000E+01	4.202544E-09	4.795906E-14	4.999580E-05	4.202638E-09	1.508068E-15
3.600000E+01	6.785492E-09	9.708833E-14	4.999321E-05	6.785653E-09	3.376706E-15
3.800000E+01	1.095615E-08	1.953465E-13	4.998904E-05	1.095646E-08	7.637775E-15
4.000000E+01	1.767846E-08	3.909586E-13	4.998232E-05	1.767916E-08	1.743735E-14
4.200000E+01	2.848589E-08	7.790525E-13	4.997151E-05	2.848750E-08	4.012939E-14
4.400000E+01	4.580308E-08	1.547375E-12	4.995419E-05	4.580598E-08	9.293185E-14
4.600000E+01	7.343539E-08	3.066985E-12	4.992656E-05	7.344049E-08	2.161290E-13
4.800000E+01	1.173048E-07	6.072844E-12	4.988268E-05	1.173159E-07	5.036591E-13
5.000000E+01	1.865404E-07	1.202477E-11	4.981344E-05	1.865622E-07	1.173191E-12
5.200000E+01	2.950492E-07	2.382760E-11	4.970490E-05	2.950918E-07	2.724523E-12
5.400000E+01	4.637287E-07	4.726491E-11	4.953618E-05	4.638108E-07	6.290948E-12
5.600000E+01	7.234570E-07	9.382679E-11	4.927636E-05	7.236158E-07	1.440061E-11
5.800000E+01	1.118922E-06	1.861976E-10	4.888071E-05	1.119229E-06	3.257671E-11
6.000000E+01	1.713103E-06	3.686219E-10	4.828616E-05	1.713695E-06	7.256960E-11
6.200000E+01	2.591714E-06	7.256736E-10	4.740683E-05	2.592849E-06	1.585449E-10
6.400000E+01	3.865933E-06	1.414061E-09	4.613124E-05	3.868085E-06	3.380708E-10
6.600000E+01	5.670203E-06	2.711005E-09	4.432437E-05	5.674226E-06	6.995246E-10
6.800000E+01	8.149859E-06	5.074476E-09	4.183999E-05	8.157218E-06	1.394701E-09
7.000000E+01	1.143174E-05	9.187059E-09	3.854989E-05	1.144480E-05	2.656777E-09
7.200000E+01	1.557264E-05	1.591178E-08	3.439554E-05	1.559489E-05	4.787403E-09
7.400000E+01	2.049035E-05	2.604915E-08	2.945755E-05	2.052631E-05	8.071320E-09
7.600000E+01	2.590520E-05	3.984055E-08	2.401511E-05	2.595969E-05	1.259642E-08
7.800000E+01	3.134774E-05	5.643006E-08	1.853940E-05	3.142449E-05	1.805519E-08
8.000000E+01	3.628160E-05	7.383863E-08	1.357072E-05	3.638182E-05	2.373044E-08
8.200000E+01	4.030467E-05	8.980842E-08	9.515712E-06	4.042669E-05	2.879804E-08
8.400000E+01	4.328662E-05	1.029312E-07	6.507519E-06	4.342701E-05	3.273564E-08
8.600000E+01	4.534069E-05	1.130512E-07	4.433203E-06	4.549585E-05	3.547086E-08
8.800000E+01	4.669106E-05	1.208279E-07	3.067288E-06	4.685826E-05	3.722615E-08
9.000000E+01	4.755856E-05	1.271279E-07	2.187180E-06	4.773622E-05	3.830080E-08
9.200000E+01	4.811242E-05	1.326856E-07	1.622207E-06	4.829990E-05	3.894898E-08
9.400000E+01	4.846718E-05	1.380228E-07	1.256772E-06	4.866453E-05	3.934985E-08
9.600000E+01	4.869582E-05	1.434824E-07	1.017217E-06	4.890355E-05	3.961885E-08
9.800000E+01	4.884363E-05	1.492839E-07	8.578009E-07	4.906255E-05	3.982715E-08
