# temperature	A	A+A	A+B	B	B+B
0.000000E+00	4.798030E-22	1.657225E-37	1.000000E-05	8.767388E-22	1.225965E-37
2.000000E+00	1.315815E-21	9.700620E-37	1.000000E-05	2.698424E-21	6.773948E-37
4.000000E+00	3.585284E-21	5.622370E-36	1.000000E-05	8.206556E-21	3.716214E-36
6.000000E+00	9.718213E-21	3.229869E-35	1.000000E-05	2.464743E-20	2.028114E-35
8.000000E+00	2.625052E-20	1.842827E-34	1.000000E-05	7.307459E-20	1.104512E-34
1.000000E+01	7.081878E-20	1.047490E-33	1.000000E-05	2.138237E-19	6.028317E-34
1.200000E+01	1.913189E-19	5.954857E-33	1.000000E-05	6.175296E-19	3.314526E-33
1.400000E+01	5.190099E-19	3.400286E-32	1.000000E-05	1.760920E-18	1.846007E-32
1.600000E+01	1.417540E-18	1.958210E-31	1.000000E-05	4.962199E-18	1.046622E-31
1.800000E+01	3.906047E-18	1.141072E-30	1.000000E-05	1.383829E-17	6.062345E-31
2.000000E+01	1.087258E-17	6.741036E-30	1.000000E-05	3.826699E-17	3.593195E-30
2.200000E+01	3.058299E-17	4.039666E-29	1.000000E-05	1.051747E-16	2.178361E-29
2.400000E+01	8.689168E-17	2.454176E-28	1.000000E-05	2.879791E-16	1.348076E-28
2.600000E+01	2.490812E-16	1.509347E-27	1.000000E-05	7.871273E-16	8.490577E-28
2.800000E+01	7.192398E-16	9.379253E-27	1.000000E-05	2.150670E-15	5.423983E-27
3.000000E+01	2.088049E-15	5.876325E-26	1.000000E-05	5.878196E-15	3.502306E-26
3.200000E+01	6.081566E-15	3.703528E-25	1.000000E-05	1.607107E-14	2.278248E-25
3.400000E+01	1.773048E-14	2.342601E-24	1.000000E-05	4.392395E-14	1.488360E-24
3.600000E+01	5.162478E-14	1.483767E-23	1.000000E-05	1.198788E-13	9.736963E-24
3.800000E+01	2.210549E-13	2.045441E-22	1.000000E-05	2.210558E-13	2.920495E-23
4.000000E+01	6.180059E-13	1.212473E-21	9.999999E-06	6.180058E-13	2.023407E-22
4.200000E+01	1.715771E-12	7.165512E-21	9.999998E-06	1.715775E-12	1.390415E-21
4.400000E+01	4.721863E-12	4.215438E-20	9.999995E-06	4.721870E-12	9.449643E-21
4.600000E+01	1.285885E-11	2.464586E-19	9.999987E-06	1.285886E-11	6.334394E-20
4.800000E+01	3.459523E-11	1.429460E-18	9.999965E-06	3.459531E-11	4.176627E-19
5.000000E+01	9.181040E-11	8.208343E-18	9.999908E-06	9.181061E-11	2.701359E-18
5.200000E+01	2.399976E-10	4.655921E-17	9.999760E-06	2.399981E-10	1.709125E-17
5.400000E+01	6.171320E-10	2.602034E-16	9.999383E-06	6.171342E-10	1.054860E-16
5.600000E+01	1.559039E-09	1.428747E-15	9.998441E-06	1.559045E-09	6.333408E-16
5.800000E+01	3.864723E-09	7.684344E-15	9.996135E-06	3.864739E-09	3.688875E-15
6.000000E+01	9.389534E-09	4.035001E-14	9.990610E-06	9.389584E-09	2.078430E-14
6.200000E+01	2.233004E-08	2.061174E-13	9.977670E-06	2.233024E-08	1.129434E-13
6.400000E+01	5.190596E-08	1.020099E-12	9.948092E-06	5.190669E-08	5.898939E-13
6.600000E+01	1.176957E-07	4.866050E-12	9.882295E-06	1.176995E-07	2.948020E-12
6.800000E+01	2.595196E-07	2.220791E-11	9.740436E-06	2.595360E-07	1.400289E-11
7.000000E+01	5.535074E-07	9.582912E-11	9.446301E-06	5.535741E-07	6.251752E-11
7.200000E+01	1.131006E-06	3.831492E-10	8.868228E-06	1.131258E-06	2.572760E-10
7.400000E+01	2.176735E-06	1.370581E-09	7.820524E-06	2.177590E-06	9.429307E-10
7.600000E+01	3.835130E-06	4.139747E-09	6.156590E-06	3.837597E-06	2.906470E-09
7.800000E+01	5.944588E-06	9.742510E-09	4.035927E-06	5.950161E-06	6.955860E-09
8.000000E+01	7.859377E-06	1.677930E-08	2.107064E-06	7.868649E-06	1.214335E-08
8.200000E+01	9.021383E-06	2.189598E-08	9.348255E-07	9.033143E-06	1.601566E-08
8.400000E+01	9.537190E-06	2.434752E-08	4.141146E-07	9.549976E-06	1.795486E-08
8.600000E+01	9.739018E-06	2.536109E-08	2.102602E-07	9.752104E-06	1.881807E-08
8.800000E+01	9.819098E-06	2.584117E-08	1.292200E-07	9.832257E-06	1.926170E-08
9.000000E+01	9.853370E-06	2.616266E-08	9.430446E-08	9.866567E-06	1.956439E-08
9.200000E+01	9.869357E-06	2.645889E-08	7.772509E-08	9.882617E-06	1.982875E-08
9.400000E+01	9.877307E-06	2.677552E-08	6.914162E-08	9.890673E-06	2.009248E-08
9.600000E+01	9.881320E-06	2.712736E-08	6.442550E-08	9.894835E-06	2.037000E-08
9.800000E+01	9.883185E-06	2.751818E-08	6.177858E-08	9.896887E-06	2.066705E-08
