# temperature	A	A+A	A+A+A	A+A+A+A	A+A+A+B	A+A+B	A+A+B+B	A+B	A+B+A+B	A+B+B	A+B+B+B	B	B+B	B+B+B	B+B+B+B
0.000000E+00	6.132666E-23	2.707412E-39	9.243988E-57	1.215261E-72	3.481266E-39	1.919862E-21	4.798474E-13	4.996963E-07	3.997502E-04	7.659700E-25	6.230340E-42	3.427599E-22	1.873775E-38	1.456774E-55	6.353024E-72
2.000000E+00	1.949290E-22	2.128937E-38	1.820778E-55	5.471349E-71	2.436442E-38	5.438039E-21	8.584649E-13	6.548213E-07	3.996726E-04	2.880035E-24	5.760632E-41	1.192755E-21	1.323501E-37	2.736385E-54	2.478044E-70
4.000000E+00	1.885591E-23	1.555131E-40	1.021416E-58	2.128612E-75	1.595558E-40	4.684833E-22	1.554119E-12	8.669460E-07	3.995665E-04	3.533988E-22	5.896579E-37	1.352786E-19	1.009804E-33	1.853580E-48	1.186267E-62
6.000000E+00	6.042037E-23	1.248472E-39	2.102478E-57	1.003678E-73	1.157766E-39	1.335525E-21	2.847456E-12	1.159974E-06	3.994200E-04	1.302469E-21	5.644319E-36	4.598570E-19	7.059840E-33	3.526943E-47	4.987926E-61
8.000000E+00	1.945540E-22	1.012253E-38	4.429331E-56	4.854538E-72	8.563153E-39	3.819936E-21	5.278314E-12	1.568245E-06	3.992159E-04	4.762546E-21	5.495967E-35	1.546244E-18	4.945310E-32	6.786812E-46	2.183374E-59
1.000000E+01	8.084876E-22	1.365210E-37	2.021185E-54	6.549638E-70	1.064402E-37	1.407104E-20	9.890671E-12	2.140882E-06	3.989295E-04	1.348489E-20	3.304266E-34	4.009808E-18	2.119980E-31	6.268616E-45	3.671193E-58
1.200000E+01	2.635843E-21	1.130302E-36	4.483188E-53	3.365651E-68	8.212654E-37	4.055531E-20	1.870933E-11	2.947697E-06	3.985261E-04	4.876500E-20	3.322201E-33	1.321232E-17	1.517274E-30	1.243690E-43	1.743728E-56
1.400000E+01	1.110739E-20	1.557358E-35	2.158701E-51	4.852793E-66	1.066770E-35	1.505895E-19	3.566253E-11	4.087042E-06	3.979564E-04	1.371002E-19	2.058618E-32	3.362887E-17	6.732534E-30	1.190939E-42	3.190684E-55
1.600000E+01	3.680380E-20	1.320001E-34	5.071053E-50	2.688213E-64	8.621878E-35	4.379802E-19	6.835250E-11	5.695922E-06	3.971520E-04	4.940452E-19	2.123241E-31	1.088631E-16	5.037360E-29	2.454533E-41	1.649369E-53
1.800000E+01	1.577725E-19	1.861662E-33	2.583620E-48	4.191424E-62	1.171875E-33	1.640837E-18	1.314132E-10	7.962536E-06	3.960186E-04	1.390553E-18	1.344085E-30	2.727973E-16	2.355895E-28	2.449995E-40	3.293324E-52
2.000000E+01	5.325835E-19	1.617471E-32	6.422779E-47	2.522163E-60	9.902916E-33	4.817223E-18	2.527787E-10	1.114099E-05	3.944293E-04	5.032966E-18	1.405626E-29	8.703487E-16	1.858741E-27	5.253840E-39	1.847878E-50
2.200000E+01	2.053548E-18	1.821359E-31	2.373322E-45	2.590766E-58	1.092576E-31	1.607162E-17	4.851565E-10	1.556727E-05	3.922159E-04	1.616357E-17	1.149235E-28	2.438364E-15	1.170859E-26	7.909089E-38	6.538044E-49
