# temperature	SE	SE+SE	SE+SE+SE	SE+SE+SE+SE
0.000000E+00	6.361478E-06	5.965358E-04	8.657070E-08	7.678117E-08
2.000000E+00	8.327437E-06	5.955214E-04	1.038213E-07	7.959930E-08
4.000000E+00	1.085504E-05	5.942211E-04	1.242417E-07	8.249160E-08
6.000000E+00	1.408936E-05	5.925619E-04	1.483395E-07	8.544663E-08
8.000000E+00	1.820781E-05	5.904542E-04	1.766784E-07	8.844865E-08
1.000000E+01	2.342550E-05	5.877895E-04	2.098728E-07	9.147618E-08
1.200000E+01	3.000080E-05	5.844377E-04	2.485761E-07	9.450013E-08
1.400000E+01	3.824061E-05	5.802445E-04	2.934579E-07	9.748162E-08
1.600000E+01	4.850485E-05	5.750291E-04	3.451680E-07	1.003693E-07
1.800000E+01	6.120911E-05	5.685828E-04	4.042797E-07	1.030966E-07
2.000000E+01	7.682437E-05	5.606698E-04	4.712090E-07	1.055785E-07
2.200000E+01	9.587188E-05	5.510295E-04	5.461024E-07	1.077084E-07
2.400000E+01	1.189113E-04	5.393826E-04	6.286913E-07	1.093565E-07
2.600000E+01	1.465192E-04	5.254425E-04	7.181137E-07	1.103686E-07
2.800000E+01	1.792560E-04	5.089318E-04	8.127132E-07	1.105691E-07
3.000000E+01	2.176177E-04	4.896069E-04	9.098430E-07	1.097675E-07
3.200000E+01	2.619731E-04	4.672893E-04	1.005719E-06	1.077723E-07
3.400000E+01	3.124865E-04	4.419049E-04	1.095389E-06	1.044124E-07
3.600000E+01	3.690322E-04	4.135254E-04	1.172912E-06	9.956776E-08
3.800000E+01	4.311125E-04	3.824096E-04	1.231819E-06	9.320491E-08
4.000000E+01	4.977973E-04	3.490317E-04	1.265899E-06	8.541328E-08
4.200000E+01	5.677081E-04	3.140877E-04	1.270259E-06	7.642935E-08
4.400000E+01	6.390714E-04	2.784674E-04	1.242434E-06	6.663625E-08
4.600000E+01	7.098532E-04	2.431855E-04	1.183247E-06	5.652838E-08
4.800000E+01	7.779689E-04	2.092767E-04	1.097030E-06	4.664163E-08
5.000000E+01	8.415314E-04	1.776729E-04	9.910139E-07	3.746542E-08
5.200000E+01	8.990784E-04	1.490911E-04	8.739957E-07	2.936402E-08
5.400000E+01	9.497185E-04	1.239637E-04	7.547003E-07	2.253322E-08
5.600000E+01	9.931599E-04	1.024255E-04	6.403868E-07	1.700277E-08
5.800000E+01	1.029630E-03	8.435552E-05	5.360744E-07	1.267502E-08
6.000000E+01	1.059726E-03	6.945165E-05	4.444547E-07	9.378650E-09
6.200000E+01	1.084249E-03	5.731235E-05	3.662901E-07	6.917635E-09
6.400000E+01	1.104064E-03	4.750628E-05	3.010156E-07	5.105082E-09
6.600000E+01	1.120002E-03	3.962036E-05	2.473167E-07	3.780768E-09
6.800000E+01	1.132805E-03	3.328670E-05	2.035726E-07	2.816455E-09
7.000000E+01	1.143101E-03	2.819313E-05	1.681424E-07	2.114093E-09
7.200000E+01	1.151408E-03	2.408336E-05	1.395208E-07	1.600959E-09
7.400000E+01	1.158143E-03	2.075160E-05	1.164050E-07	1.224145E-09
7.600000E+01	1.163633E-03	1.803497E-05	9.770768E-08	9.456056E-10
7.800000E+01	1.168138E-03	1.580563E-05	8.254203E-08	7.381382E-10
8.000000E+01	1.171860E-03	1.396374E-05	7.019552E-08	5.823259E-10
8.200000E+01	1.174955E-03	1.243139E-05	6.010073E-08	4.642910E-10
8.400000E+01	1.177548E-03	1.114778E-05	5.180800E-08	3.740802E-10
8.600000E+01	1.179733E-03	1.006526E-05	4.496176E-08	3.045192E-10
8.800000E+01	1.181588E-03	9.146394E-06	3.928088E-08	2.504059E-10
9.000000E+01	1.183172E-03	8.361612E-06	3.454276E-08	2.079428E-10
9.200000E+01	1.184533E-03	7.687423E-06	3.057076E-08	1.743376E-10
9.400000E+01	1.185708E-03	7.105059E-06	2.722422E-08	1.475224E-10
9.600000E+01	1.186727E-03	6.599433E-06	2.439077E-08	1.259536E-10
9.800000E+01	1.187617E-03	6.158341E-06	2.198027E-08	1.084706E-10
