# temperature	SE	SE+SE
0.000000E+00	2.598193E-05	1.700903E-05
2.000000E+00	3.002521E-05	1.498740E-05
4.000000E+00	3.416795E-05	1.291602E-05
6.000000E+00	3.825882E-05	1.087059E-05
8.000000E+00	4.213903E-05	8.930485E-06
1.000000E+01	4.566696E-05	7.166520E-06
1.200000E+01	4.874135E-05	5.629327E-06
1.400000E+01	5.131479E-05	4.342603E-06
1.600000E+01	5.339294E-05	3.303530E-06
1.800000E+01	5.502151E-05	2.489243E-06
2.000000E+01	5.626831E-05	1.865844E-06
2.200000E+01	5.720692E-05	1.396541E-06
2.400000E+01	5.790583E-05	1.047086E-06
2.600000E+01	5.842314E-05	7.884291E-07
2.800000E+01	5.880525E-05	5.973727E-07
3.000000E+01	5.908778E-05	4.561107E-07
3.200000E+01	5.929736E-05	3.513223E-07
3.400000E+01	5.945360E-05	2.732017E-07
3.600000E+01	5.957080E-05	2.145978E-07
3.800000E+01	5.965936E-05	1.703198E-07
4.000000E+01	5.972679E-05	1.366043E-07
4.200000E+01	5.977856E-05	1.107200E-07
4.400000E+01	5.981864E-05	9.067854E-08
4.600000E+01	5.984995E-05	7.502656E-08
4.800000E+01	5.987461E-05	6.269633E-08
5.000000E+01	5.989420E-05	5.289891E-08
5.200000E+01	5.990990E-05	4.504772E-08
5.400000E+01	5.992259E-05	3.870375E-08
5.600000E+01	5.993293E-05	3.353619E-08
5.800000E+01	5.994141E-05	2.929404E-08
6.000000E+01	5.994843E-05	2.578547E-08
6.200000E+01	5.995427E-05	2.286284E-08
6.400000E+01	5.995918E-05	2.041172E-08
6.600000E+01	5.996331E-05	1.834277E-08
6.800000E+01	5.996683E-05	1.658576E-08
7.000000E+01	5.996983E-05	1.508511E-08
7.200000E+01	5.997241E-05	1.379651E-08
7.400000E+01	5.997463E-05	1.268444E-08
7.600000E+01	5.997656E-05	1.172019E-08
7.800000E+01	5.997824E-05	1.088048E-08
8.000000E+01	5.997971E-05	1.014625E-08
8.200000E+01	5.998100E-05	9.501847E-09
8.400000E+01	5.998213E-05	8.934332E-09
8.600000E+01	5.998313E-05	8.432949E-09
8.800000E+01	5.998402E-05	7.988713E-09
9.000000E+01	5.998481E-05	7.594081E-09
9.200000E+01	5.998551E-05	7.242691E-09
9.400000E+01	5.998614E-05	6.929151E-09
9.600000E+01	5.998670E-05	6.648873E-09
9.800000E+01	5.998720E-05	6.397936E-09
