# temperature	A	A+A	A+A+A	A+A+B	A+A+C	A+B	A+B+B	A+B+C	A+C	A+C+B	A+C+C	B	B+B	B+B+B	B+B+C	B+C	B+C+C	C	C+C	C+C+C
0.000000E+00	8.015563E-32	1.485277E-56	2.111476E-81	4.173825E-45	4.343890E-45	6.811495E-20	3.322113E-40	1.000000E-05	3.785598E-19	1.465905E-42	1.645295E-40	4.815727E-25	1.457247E-44	5.073515E-64	9.112713E-65	3.340897E-45	6.633603E-63	1.997148E-26	6.473995E-45	5.365799E-64
2.000000E+00	3.110367E-31	1.495407E-55	4.458220E-80	2.597682E-44	2.512827E-44	1.442217E-19	1.600762E-39	1.000000E-05	8.496008E-19	9.528219E-42	8.603152E-40	1.407611E-24	8.680156E-44	6.053861E-63	1.218620E-63	1.952915E-44	6.764215E-62	6.534868E-26	4.040922E-44	6.226183E-63
4.000000E+00	1.228603E-30	1.568768E-54	9.990293E-79	1.641196E-43	1.532626E-43	3.078431E-19	8.056402E-39	1.000000E-05	1.944709E-18	6.406133E-41	4.771398E-39	4.187989E-24	5.378404E-43	7.621770E-62	1.732180E-62	1.178050E-43	7.060352E-61	2.163232E-25	2.552362E-43	7.670367E-62
6.000000E+00	4.952715E-30	1.710850E-53	2.416906E-77	1.051974E-42	9.906628E-43	6.615588E-19	4.218641E-38	1.000000E-05	4.546746E-18	4.442486E-40	2.810583E-38	1.265888E-23	3.465301E-42	1.026723E-60	2.629687E-61	7.374914E-43	7.628274E-60	7.256189E-25	1.637594E-42	1.004842E-60
8.000000E+00	2.041120E-29	1.933916E-52	6.417273E-76	6.841744E-42	6.806011E-42	1.430126E-18	2.288162E-37	1.000000E-05	1.085488E-17	3.169352E-39	1.753167E-37	3.879743E-23	2.317978E-41	1.494665E-59	4.277850E-60	4.822498E-42	8.656308E-59	2.468123E-24	1.070901E-41	1.399621E-59
1.000000E+01	8.608646E-29	2.259047E-51	1.896258E-74	4.519951E-41	4.973959E-41	3.109128E-18	1.280981E-36	1.000000E-05	2.640699E-17	2.320869E-38	1.150718E-36	1.203891E-22	1.608409E-40	2.360249E-58	7.470351E-59	3.314363E-41	1.049121E-57	8.510623E-24	7.159599E-41	2.069393E-58
1.200000E+01	3.718334E-28	2.721623E-50	6.298213E-73	3.040879E-40	3.865660E-40	6.798930E-18	7.386224E-36	1.000000E-05	6.524720E-17	1.741134E-37	7.884667E-36	3.778769E-22	1.158660E-39	4.038564E-57	1.401071E-57	2.404986E-40	1.380540E-56	2.972067E-23	4.910139E-40	3.241010E-57
1.400000E+01	1.645918E-27	3.382613E-49	2.364536E-71	2.091950E-39	3.192429E-39	1.495851E-17	4.382473E-35	1.000000E-05	1.631290E-16	1.335930E-36	5.595972E-35	1.199248E-21	8.684690E-39	7.467032E-56	2.820851E-56	1.846314E-39	1.998501E-55	1.049799E-22	3.470469E-39	5.370852E-56
1.600000E+01	7.564984E-38	4.461224E-70	1.044299E-102	3.366197E-55	1.276759E-54	7.437623E-23	1.333040E-34	1.000000E-05	1.853197E-21	1.046710E-35	8.200390E-34	8.538066E-16	3.343198E-27	1.625447E-38	1.334688E-38	1.480730E-27	1.410517E-37	1.667812E-16	5.042238E-27	8.318251E-38
1.800000E+01	1.460246E-33	1.028059E-61	3.591813E-90	1.012428E-50	2.053531E-46	1.639405E-22	1.980116E-37	1.000000E-05	1.963450E-17	8.361638E-35	2.591061E-29	6.623316E-19	1.561613E-33	4.760564E-48	1.780304E-44	3.063272E-30	6.135850E-40	6.067721E-16	3.939978E-26	1.599206E-36
