# temperature	A	A+A	A+A+A	A+A+C	A+A+B	A+C	A+C+C	A+C+B	A+B	A+B+C	A+B+B	C	C+C	C+C+C	C+C+B	C+B	C+B+B	B	B+B	B+B+B
0.000000E+00	4.208124E-43	4.093703E-79	3.055269E-115	2.089395E-60	5.022452E-62	3.468341E-23	2.630654E-37	5.863620E-41	1.561240E-25	4.000000E-04	3.324408E-40	3.485323E-19	1.971687E-30	2.851891E-42	8.820392E-43	2.545474E-32	3.031279E-46	2.102493E-19	2.777656E-33	4.222086E-47
2.000000E+00	5.327649E-45	4.387404E-83	2.240441E-121	5.587019E-62	2.348554E-66	1.102829E-22	8.462924E-34	3.811287E-40	7.612395E-28	4.000000E-04	2.603658E-42	4.952292E-16	2.320702E-24	2.709756E-33	1.197079E-36	4.560572E-29	8.769417E-43	4.337598E-19	8.242532E-33	1.771463E-46
4.000000E+00	1.044270E-43	1.133343E-80	6.134538E-118	1.060213E-61	5.827296E-63	1.582743E-23	3.718398E-36	2.562453E-39	1.285982E-25	4.000000E-04	1.654059E-38	2.071370E-17	2.340191E-27	6.734102E-38	3.181557E-38	5.543992E-29	4.006416E-41	2.058305E-17	1.299158E-29	9.048335E-42
6.000000E+00	3.069352E-42	6.570806E-78	5.752677E-114	1.283830E-59	7.728472E-61	9.507776E-23	1.983123E-35	1.776994E-38	7.842483E-25	4.000000E-04	9.566201E-38	2.448406E-17	1.864472E-27	3.860310E-38	1.661337E-38	4.760073E-29	3.246702E-41	2.421459E-17	1.267957E-29	7.186185E-42
8.000000E+00	4.445040E-35	9.171745E-64	6.627840E-93	3.109866E-52	6.185849E-47	2.277544E-22	3.544049E-41	1.267741E-37	5.937446E-18	4.000000E-04	1.811049E-30	2.377943E-23	9.940734E-40	1.251741E-56	1.531864E-50	8.857779E-35	1.497947E-46	7.396413E-17	8.424529E-29	1.035615E-40
1.000000E+01	1.987212E-39	1.203771E-72	2.332519E-106	3.755630E-56	2.945377E-56	8.637541E-22	5.333377E-35	9.283476E-37	8.776806E-23	4.000000E-04	4.422109E-35	1.205934E-17	1.437516E-28	5.887475E-40	2.575954E-39	5.743158E-29	1.582998E-40	1.472230E-16	2.405326E-28	4.316422E-40
1.200000E+01	1.789798E-36	6.305783E-67	7.023992E-98	9.336390E-52	5.616562E-52	3.273871E-20	4.124081E-34	6.964537E-36	2.608894E-21	4.000000E-04	2.259429E-34	3.098152E-18	5.335585E-30	3.671240E-42	1.195907E-41	1.998559E-30	9.281646E-43	3.012386E-17	7.363371E-30	2.046010E-42
1.400000E+01	5.904419E-35	4.353016E-64	1.091573E-93	4.597484E-49	2.682372E-50	6.548793E-19	2.514009E-32	5.343720E-35	5.346716E-21	4.000000E-04	1.560803E-34	1.174810E-17	4.346208E-29	7.527083E-41	2.493770E-41	2.058717E-30	3.134015E-43	1.194920E-17	8.622121E-31	7.386482E-44
1.600000E+01	5.152933E-32	2.069889E-58	3.300384E-85	2.133739E-45	2.546282E-45	4.546817E-18	7.247029E-33	4.186840E-34	8.259516E-19	4.000000E-04	2.413447E-32	6.007400E-19	6.541877E-32	3.887322E-45	2.983537E-44	8.695395E-32	1.277813E-44	1.391982E-17	8.886076E-31	7.043603E-44
1.800000E+01	4.601013E-31	1.020640E-56	1.123559E-82	6.412228E-44	4.056941E-44	1.945809E-17	8.076272E-32	3.344655E-33	2.084939E-18	4.000000E-04	1.016430E-31	1.908440E-18	3.897623E-31	4.975804E-44	2.449968E-43	3.888824E-31	9.122347E-44	2.673346E-17	2.544091E-30	3.130383E-43
