Concentration (uM)	DH (kcal/mol)	DS (cal/mol/K)	Tm (C)	DH (kJ/mol)	DS (J/mol/K)
1	32.5	104.7	37.8	135.85	437.646
2	32.5	104.1	40.1	135.85	435.138
5	32.5	103.3	43.2	135.85	431.794
10	32.5	102.7	45.5	135.85	429.286
20	32.5	102	47.9	135.85	426.36
50	32.5	101.1	51.1	135.85	422.598
75	32.6	100.8	52.6	136.268	421.344
100	32.6	100.5	53.6	136.268	420.09
150	32.6	100.1	55	136.268	418.418
200	32.6	99.8	56.1	136.268	417.164
300	32.6	99.4	57.6	136.268	415.492
400	32.5	99.1	58.6	135.85	414.238
450	32.5	99	59	135.85	413.82
500	32.5	98.8	59.4	135.85	412.984
600	32.5	98.7	60.1	135.85	412.566
750	32.5	98.4	60.9	135.85	411.312
800	32.5	98.3	61.2	135.85	410.894
900	32.5	98.2	61.6	135.85	410.476
1000	32.5	98.1	62	135.85	410.058
1200	32.5	97.9	62.7	135.85	409.222
1500	32.5	97.6	63.5	135.85	407.968
2000	32.5	97.3	64.6	135.85	406.714
3000	32.4	96.8	66.1	135.432	404.624

